data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
Bengali,2,4,3,1,0,6,0,2,0,0,2
Tigrinya,2,2,3,0,2,5,0,3,0,5,0
Somali,2,6,5,0,0,1,0,1,1,6,1
Other (please specify),4,2,11,0,3,1,0,3,3,8,0
When did you arrive in Libya?,"","","","","","","","","","",""
01/01/2019,3,0,0,1,1,11,0,4,1,6,2
01/03/2018,3,6,2,1,5,1,0,1,4,3,0
01/02/2019,2,2,1,2,2,10,0,2,0,4,0
01/06/2017,2,2,1,3,6,0,0,3,4,3,1
01/03/2019,2,3,1,0,2,10,0,1,1,3,0
01/04/2017,2,5,1,1,6,1,0,2,2,2,0
01/07/2017,2,2,3,2,4,1,0,2,1,3,1
01/05/2017,2,3,2,2,4,1,0,2,5,1,0
01/05/2018,2,2,1,2,4,2,0,2,2,4,0
01/01/2013,2,1,3,1,0,0,0,1,2,0,14
01/02/2018,2,2,1,1,5,1,0,2,1,3,1
01/05/2016,2,4,0,2,2,0,0,2,4,1,1
01/08/2018,2,2,1,3,1,3,0,5,1,1,1
01/10/2018,2,1,1,1,2,5,0,3,2,2,0
01/08/2017,2,1,1,5,4,1,0,2,1,1,0
01/06/2018,2,3,2,1,1,1,0,1,2,4,0
01/01/2018,2,2,2,2,1,1,0,1,2,3,2
01/03/2017,2,1,1,1,1,1,0,2,4,4,0
01/04/2016,2,2,2,1,1,1,0,5,3,1,1
01/10/2017,2,3,1,1,4,1,0,1,1,3,1
01/04/2018,2,3,0,1,3,2,0,1,2,2,0
01/10/2016,2,2,2,1,0,2,0,1,3,4,0
01/01/2015,1,0,1,0,0,1,0,1,2,0,10
01/09/2017,1,2,0,1,2,1,0,3,1,3,0
01/06/2016,1,2,0,2,2,1,0,1,2,2,0
01/07/2018,1,2,3,2,1,2,0,1,0,2,0
01/01/2014,1,0,1,1,0,0,0,0,0,0,11
01/02/2017,1,1,1,2,3,0,0,1,2,2,0
01/04/2019,1,1,0,2,1,6,0,1,1,1,0
01/08/2016,1,2,1,3,1,0,0,4,1,0,1
01/11/2018,1,2,0,0,1,5,0,1,2,1,0
01/05/2015,1,1,1,2,2,0,0,4,2,0,1
01/05/2019,1,1,0,0,1,6,0,1,1,1,0
01/07/2015,1,1,2,2,0,0,0,3,1,0,3
01/12/2018,1,1,1,0,0,6,0,1,1,1,0
01/03/2016,1,1,1,2,1,0,0,2,1,2,1
01/07/2016,1,2,2,2,1,0,0,1,3,0,1
01/01/2016,1,0,3,1,0,1,0,0,2,0,4
01/09/2018,1,3,0,1,0,2,0,2,1,2,0
01/09/2016,1,1,0,1,1,1,0,2,2,2,0
01/12/2017,1,1,2,0,0,1,0,0,1,4,0
01/12/2016,1,2,0,1,0,0,0,1,1,3,0
01/02/2015,1,1,2,0,1,0,0,2,1,1,1
01/02/2016,1,0,2,1,1,0,0,2,1,0,1
01/04/2015,1,1,1,0,1,0,0,1,2,0,1
01/11/2017,1,3,0,0,1,0,0,1,1,1,0
01/04/2014,1,1,1,1,0,2,0,1,1,0,1
01/07/2014,1,1,1,0,0,0,0,1,0,0,4
01/01/2017,1,0,2,1,1,0,0,1,1,0,1
01/03/2015,1,1,0,1,0,0,0,2,1,1,1
01/08/2015,1,1,1,1,0,0,0,2,2,0,0
01/11/2016,1,1,0,1,0,0,0,1,1,2,0
01/02/2014,1,1,0,0,1,0,0,0,2,0,2
01/05/2014,1,0,1,1,0,1,0,1,1,0,1
01/06/2013,1,0,1,1,1,2,0,0,1,0,1
01/06/2019,1,1,0,0,0,1,0,0,0,3,0
01/01/2005,1,0,1,1,0,0,0,0,0,0,4
01/08/2013,1,2,1,1,0,0,0,1,0,0,1
01/08/2014,1,1,0,1,0,1,0,1,2,0,0
01/09/2015,1,1,1,1,0,0,0,0,1,1,0
01/01/2008,0,1,1,1,0,0,0,0,0,0,2
01/04/2012,0,1,1,0,0,0,0,0,0,0,2
01/05/2012,0,2,1,1,0,0,0,0,0,0,0
01/10/2015,0,1,0,0,0,1,0,2,1,0,0
01/07/2012,0,1,1,0,0,0,0,0,0,0,2
01/08/2012,0,1,0,1,0,1,0,1,1,0,0
01/10/2014,0,0,0,1,0,1,0,0,1,0,0
01/12/2014,0,1,1,1,0,0,0,2,0,0,0
01/01/2009,0,0,1,0,0,0,0,0,0,0,3
01/02/2009,0,1,1,0,0,0,0,0,0,0,2
01/05/2013,0,1,0,0,1,0,0,0,1,0,0
01/09/2012,0,1,1,1,1,0,0,0,0,0,0
01/12/2013,0,1,1,0,0,1,0,1,0,0,1
01/02/2013,0,1,1,1,0,0,0,0,0,0,1
01/03/2012,0,1,0,0,0,1,0,0,1,0,1
01/03/2013,0,1,1,0,0,1,0,1,0,0,1
01/06/2012,0,1,1,0,0,1,0,0,0,0,0
01/06/2014,0,1,0,1,0,0,0,1,0,0,1
01/06/2015,0,0,0,2,0,0,0,0,1,0,0
01/07/2013,0,1,1,0,0,0,0,0,1,0,1
01/08/2007,0,1,0,1,0,0,0,0,0,0,1
01/10/2012,0,1,0,0,0,1,0,0,0,0,1
01/11/2013,0,0,0,0,0,1,0,0,1,0,1
01/11/2015,0,0,1,0,0,0,0,1,1,0,0
01/01/2001,0,0,1,1,0,0,0,0,0,0,0
01/01/2006,0,0,1,0,0,0,0,0,0,0,2
01/01/2007,0,0,0,1,0,0,0,0,0,0,2
01/03/2014,0,1,0,0,0,1,0,0,0,0,1
01/04/2013,0,1,0,0,0,0,0,0,0,0,1
01/07/2019,0,0,1,0,0,1,0,1,0,0,0
01/08/2000,0,0,1,2,0,0,0,0,0,0,0
01/08/2006,0,0,1,1,0,0,0,0,0,0,0
01/01/1999,0,0,1,0,0,0,0,0,0,0,0
01/01/2010,0,0,1,0,0,0,0,0,0,0,1
01/02/2007,0,1,0,0,1,0,0,0,0,0,0
01/06/2009,0,0,0,1,1,0,0,0,0,0,0
01/08/2008,0,0,0,1,1,0,0,0,0,0,0
01/08/2009,0,1,0,1,0,0,0,0,0,0,0
01/09/1991,0,0,1,1,0,0,0,0,0,0,0
01/09/2013,0,0,1,0,0,1,0,0,0,0,0
01/10/2013,0,1,1,0,0,0,0,0,1,0,0
01/11/2012,0,0,1,0,0,1,0,0,1,0,0
01/12/2011,0,0,1,1,0,0,0,0,0,0,0
01/12/2015,0,1,0,0,0,0,0,0,0,0,1
01/01/1989,0,0,0,1,0,0,0,0,0,0,0
01/01/1998,0,1,0,1,0,0,0,0,0,0,0
01/01/2012,0,0,0,1,0,0,0,0,0,0,0
01/02/1992,0,0,1,1,0,0,0,0,0,0,0
01/02/2012,0,0,1,0,0,0,0,0,0,0,0
01/03/1988,0,0,1,0,0,0,0,0,0,0,0
01/03/2005,0,0,0,0,0,1,0,0,0,0,1
01/05/2001,0,0,1,0,0,0,0,0,0,0,0
01/05/2010,0,0,0,0,1,0,0,0,0,0,0
01/06/1997,0,0,1,1,0,0,0,0,0,0,0
01/06/2011,0,1,1,0,0,0,0,0,0,0,0
01/07/2008,0,0,1,0,0,0,0,0,0,0,1
01/09/2009,0,0,0,1,0,0,0,0,1,0,0
01/12/2012,0,0,1,0,0,0,0,0,1,0,0
01/01/1955,0,0,1,0,0,0,0,0,0,0,0
01/01/1970,0,0,1,0,0,0,0,0,0,0,0
01/01/1981,0,0,0,1,0,0,0,0,0,0,0
01/01/1985,0,0,0,0,0,0,0,0,0,0,1
01/01/1988,0,0,1,0,0,0,0,0,0,0,0
01/01/1992,0,0,1,0,0,0,0,0,0,0,0
01/01/2000,0,0,0,0,0,0,0,0,0,0,1
01/01/2003,0,0,0,1,0,0,0,0,0,0,0
01/01/2004,0,0,1,0,0,0,0,0,0,0,0
01/01/2011,0,0,0,0,0,0,0,0,1,0,0
01/02/1989,0,0,1,0,0,0,0,0,0,0,0
01/02/1993,0,0,0,1,0,0,0,0,0,0,0
01/02/2002,0,0,0,1,0,0,0,0,0,0,0
01/02/2008,0,1,0,0,0,0,0,0,0,0,0
01/02/2010,0,1,0,0,0,0,0,0,0,0,0
01/03/1989,0,0,1,0,0,0,0,0,0,0,0
01/03/2003,0,0,1,0,0,0,0,0,0,0,0
01/03/2009,0,0,0,1,0,0,0,0,0,0,0
01/03/2010,0,0,0,0,0,0,0,0,1,0,0
01/04/1969,0,0,1,0,0,0,0,0,0,0,0
01/04/1981,0,0,1,0,0,0,0,0,0,0,0
01/04/1991,0,0,1,0,0,0,0,0,0,0,0
01/04/1994,0,0,1,0,0,0,0,0,0,0,0
01/04/1995,0,0,0,0,0,0,0,0,0,0,0
01/04/2005,0,0,0,0,0,0,0,0,0,0,0
01/04/2006,0,0,0,0,0,0,0,0,0,0,0
01/04/2008,0,0,0,1,0,0,0,0,0,0,0
01/04/2010,0,1,0,0,0,0,0,0,0,0,0
01/04/2011,0,0,0,0,0,0,0,0,0,0,1
01/05/1982,0,0,1,0,0,0,0,0,0,0,0
01/05/1988,0,0,0,1,0,0,0,0,0,0,0
01/05/1994,0,0,0,1,0,0,0,0,0,0,0
01/05/1998,0,0,1,0,0,0,0,0,0,0,0
01/05/2003,0,0,0,1,0,0,0,0,0,0,0
01/05/2005,0,0,0,1,0,0,0,0,0,0,0
01/05/2006,0,0,0,0,0,0,0,0,0,0,0
01/05/2009,0,0,0,0,0,0,0,0,1,0,0
01/06/1972,0,0,0,1,0,0,0,0,0,0,0
01/06/1989,0,0,0,1,0,0,0,0,0,0,0
01/06/1998,0,0,0,1,0,0,0,0,0,0,0
01/06/1999,0,0,1,0,0,0,0,0,0,0,0
01/06/2004,0,0,0,0,0,1,0,0,0,0,0
01/06/2005,0,0,0,1,0,0,0,0,0,0,0
01/06/2008,0,1,0,0,0,0,0,0,0,0,0
01/06/2010,0,0,1,0,0,0,0,0,0,0,0
01/07/1987,0,0,0,1,0,0,0,0,0,0,0
01/07/1989,0,0,1,0,0,0,0,0,0,0,0
01/07/1991,0,0,1,0,0,0,0,0,0,0,0
01/07/1993,0,0,1,0,0,0,0,0,0,0,0
01/07/1995,0,0,0,0,0,0,0,0,0,0,1
01/07/1998,0,0,0,0,0,0,0,0,0,0,1
01/07/2002,0,0,1,0,0,0,0,0,0,0,0
01/07/2003,0,0,1,0,0,0,0,0,0,0,0
01/07/2005,0,0,1,0,0,0,0,0,0,0,0
01/07/2006,0,0,1,0,0,0,0,0,0,0,0
01/07/2007,0,0,1,0,0,0,0,0,0,0,0
01/07/2010,0,0,0,0,0,0,0,0,0,0,1
01/07/2011,0,0,0,0,0,0,0,0,0,0,1
01/08/1982,0,0,1,0,0,0,0,0,0,0,0
01/08/1990,0,0,1,0,0,0,0,0,0,0,0
01/08/1997,0,0,0,1,0,0,0,0,0,0,0
01/08/1999,0,0,0,1,0,0,0,0,0,0,0
01/08/2002,0,0,0,1,0,0,0,0,0,0,0
01/08/2004,0,0,1,0,0,0,0,0,0,0,0
01/08/2005,0,0,0,1,0,0,0,0,0,0,0
01/08/2010,0,0,0,0,0,0,0,1,0,0,0
01/08/2011,0,0,0,1,0,0,0,0,0,0,0
01/09/1971,0,0,0,1,0,0,0,0,0,0,0
01/09/1975,0,0,1,0,0,0,0,0,0,0,0
01/09/1979,0,0,0,1,0,0,0,0,0,0,0
01/09/1980,0,1,0,0,0,0,0,0,0,0,0
01/09/1981,0,0,1,0,0,0,0,0,0,0,0
01/09/1985,0,0,1,0,0,0,0,0,0,0,0
01/09/1996,0,0,0,1,0,0,0,0,0,0,0
01/09/2002,0,0,1,0,0,0,0,0,0,0,0
01/09/2003,0,0,0,0,0,0,50,0,0,0,0
01/09/2006,0,0,1,0,0,0,0,0,0,0,0
01/09/2008,0,0,1,0,0,0,0,0,0,0,0
01/09/2010,0,0,0,0,0,0,0,0,1,0,0
01/10/1988,0,0,1,0,0,0,0,0,0,0,0
01/10/2000,0,0,1,0,0,0,0,0,0,0,0
01/10/2002,0,0,0,1,0,0,0,0,0,0,0
01/10/2007,0,0,1,0,0,0,0,0,0,0,0
01/10/2009,0,1,0,0,0,0,0,0,0,0,0
01/10/2010,0,0,1,0,0,0,0,0,0,0,0
01/10/2011,0,0,0,0,0,0,50,0,0,0,0
01/11/1990,0,0,1,0,0,0,0,0,0,0,0
01/11/2002,0,0,1,0,0,0,0,0,0,0,0
01/11/2003,0,0,1,0,0,0,0,0,0,0,0
01/11/2010,0,1,0,0,0,0,0,0,0,0,0
01/11/2011,0,0,1,0,0,0,0,0,0,0,0
01/11/2014,0,0,1,0,0,0,0,0,0,0,0
01/12/1985,0,0,0,0,0,0,0,0,0,0,0
01/12/2003,0,0,0,0,0,0,0,0,0,0,0
01/12/2005,0,0,1,0,0,0,0,0,0,0,0
01/12/2007,0,0,0,0,0,1,0,0,0,0,0
time_of_arrival,"","","","","","","","","","",""
over_a_year,82,86,96,91,88,34,100,78,91,76,98
within_a_year,18,14,4,9,12,66,0,22,9,24,2
When did you arrive in the current baladiya?,"","","","","","","","","","",""
01/02/2019,4,2,3,3,1,15,0,4,1,3,2
01/01/2019,3,1,1,1,0,9,0,3,1,3,15
01/03/2019,3,3,1,0,4,12,0,2,1,4,2
01/01/2018,3,1,3,1,0,1,0,3,3,3,14
01/04/2018,2,3,1,2,5,1,0,0,2,4,1
01/05/2017,2,2,2,1,6,1,0,2,4,3,0
01/07/2017,2,3,4,3,5,0,0,1,1,2,1
01/08/2017,2,3,1,2,5,0,0,3,2,4,1
01/04/2019,2,1,2,2,1,9,0,4,1,2,0
01/08/2018,2,4,2,6,2,1,0,4,1,2,0
01/06/2018,2,2,3,1,3,3,0,1,2,2,2
01/03/2018,2,4,1,1,4,1,0,0,4,4,0
01/12/2018,2,1,3,1,1,6,0,4,2,2,1
01/01/2017,2,1,1,1,0,1,0,1,1,1,15
01/05/2018,2,3,1,2,3,1,0,3,2,3,1
01/10/2017,2,3,1,2,2,2,0,2,2,4,0
01/09/2017,2,4,0,1,5,1,0,4,1,1,1
01/06/2017,2,1,1,2,4,1,0,2,3,1,1
01/11/2018,2,2,1,1,2,3,0,2,1,2,1
01/03/2017,2,2,1,0,3,2,0,2,5,1,0
01/04/2017,2,4,0,1,2,0,0,2,2,4,0
01/07/2018,2,2,2,3,1,2,0,2,1,3,0
01/09/2018,2,2,1,2,2,3,0,2,1,2,1
01/11/2017,2,3,2,1,3,0,0,2,1,3,0
01/04/2016,2,2,0,2,1,2,0,2,2,2,1
01/07/2016,1,1,2,2,2,1,0,1,3,3,0
01/05/2019,1,1,1,0,2,6,0,1,1,1,1
01/10/2018,1,2,1,1,0,3,0,3,1,2,1
01/02/2018,1,2,2,1,1,2,0,1,1,1,2
01/08/2016,1,3,1,2,2,1,0,3,1,0,1
01/11/2016,1,1,1,2,0,0,0,2,2,3,1
01/12/2017,1,2,1,0,1,1,0,4,1,3,1
01/06/2019,1,1,4,1,0,4,0,0,0,2,0
01/01/2016,1,0,1,1,0,1,0,1,2,0,7
01/02/2017,1,0,1,2,1,1,0,1,2,2,1
01/05/2016,1,4,1,1,1,0,0,0,4,1,0
01/08/2015,1,1,1,1,0,1,0,2,4,0,1
01/10/2016,1,1,1,1,1,2,0,1,2,1,0
01/12/2016,1,2,0,1,0,1,0,1,1,3,0
01/07/2015,1,1,3,1,0,0,0,2,0,0,2
01/09/2016,1,1,0,1,1,0,0,3,2,0,1
01/01/2015,1,0,1,0,0,0,0,0,2,0,5
01/04/2015,1,1,1,0,1,0,0,1,1,1,1
01/07/2019,1,0,2,0,0,1,0,1,0,3,0
01/03/2016,1,0,1,0,0,0,0,2,1,0,1
01/06/2016,1,2,0,1,1,0,0,1,1,1,0
01/10/2015,1,1,1,1,0,1,0,1,1,1,1
01/12/2015,1,0,0,1,0,1,0,3,1,0,1
01/05/2015,1,0,1,1,1,0,0,1,1,0,1
01/09/2015,1,1,1,0,0,0,0,2,1,0,1
01/03/2015,1,1,0,0,0,0,0,1,0,1,2
01/04/2014,1,1,1,0,1,0,0,0,1,0,1
01/11/2015,1,0,1,1,0,0,0,1,2,0,0
01/02/2016,0,0,1,1,0,1,0,1,1,0,1
01/01/2013,0,1,1,0,0,1,0,0,1,0,2
01/01/2014,0,1,0,0,0,0,0,0,1,0,2
01/05/2014,0,0,1,1,1,0,0,0,0,1,0
01/06/2013,0,0,1,0,1,0,50,1,1,0,0
01/05/2013,0,1,0,0,1,0,0,0,1,0,1
01/06/2014,0,1,0,1,1,0,0,0,0,0,1
01/08/2013,0,2,0,0,1,0,50,0,0,0,0
01/12/2014,0,1,1,1,0,0,0,1,0,0,1
01/02/2015,0,0,1,0,0,0,0,0,1,0,1
01/04/2012,0,0,1,0,1,0,0,0,0,0,1
01/05/2012,0,2,1,1,0,0,0,0,0,0,0
01/06/2015,0,0,1,1,0,0,0,0,1,0,0
01/07/2012,0,1,2,0,0,0,0,0,0,0,1
01/09/2014,0,1,0,0,1,0,0,0,1,0,0
01/10/2012,0,2,0,1,0,0,0,0,0,0,0
01/12/2013,0,1,1,0,0,0,0,0,1,0,0
01/01/2008,0,1,1,1,0,0,0,0,0,0,0
01/02/2013,0,1,1,1,0,0,0,0,0,0,0
01/02/2014,0,1,1,1,0,0,0,0,1,0,0
01/04/2013,0,1,1,0,0,0,0,0,1,0,1
01/07/2014,0,0,1,0,0,0,0,0,0,0,1
01/08/2009,0,1,0,1,0,0,0,0,0,0,0
01/08/2014,0,0,1,0,0,0,0,1,1,0,0
01/09/2013,0,0,1,1,0,0,0,0,1,0,0
01/10/2013,0,1,1,0,0,0,0,0,0,0,0
01/10/2014,0,0,0,1,0,0,0,0,1,0,1
01/12/2012,0,0,1,1,0,1,0,0,1,0,0
01/01/2001,0,0,0,1,0,0,0,0,0,0,0
01/02/2007,0,1,0,0,1,0,0,0,0,0,0
01/03/2012,0,1,0,1,0,0,0,0,1,0,0
01/03/2013,0,1,0,0,0,0,0,1,0,0,0
01/03/2014,0,1,0,1,0,0,0,0,0,0,1
01/08/2010,0,0,1,1,0,0,0,0,1,0,0
01/08/2019,0,0,1,1,0,1,0,0,0,0,0
01/01/2005,0,0,1,1,0,0,0,0,0,0,0
01/03/1988,0,0,1,0,0,0,0,0,0,0,0
01/03/2010,0,0,1,0,0,0,0,0,1,0,0
01/04/2010,0,1,0,0,0,1,0,0,0,0,0
01/05/2005,0,0,0,1,0,0,0,0,0,0,0
01/05/2007,0,0,1,0,0,0,0,0,0,0,0
01/06/2009,0,0,0,1,0,0,0,0,0,0,0
01/07/2013,0,1,0,0,0,0,0,0,0,0,1
01/08/2006,0,0,1,1,0,0,0,0,0,0,0
01/08/2008,0,0,0,0,0,1,0,0,0,0,0
01/08/2012,0,1,0,1,0,0,0,0,0,0,0
01/09/2008,0,0,1,1,0,0,0,0,0,0,0
01/09/2009,0,0,1,0,0,0,0,0,1,0,0
01/09/2012,0,1,0,0,0,0,0,0,0,0,0
01/10/2007,0,0,1,0,0,0,0,0,0,0,0
01/10/2009,0,1,0,1,0,0,0,0,0,0,0
01/11/2013,0,0,0,0,0,0,0,0,1,0,0
01/11/2014,0,0,0,0,0,0,0,1,0,0,0
01/01/1970,0,0,1,0,0,0,0,0,0,0,0
01/01/1988,0,0,1,0,0,0,0,0,0,0,0
01/01/1989,0,0,0,1,0,0,0,0,0,0,0
01/01/1990,0,0,0,1,0,0,0,0,0,0,0
01/01/1992,0,0,0,1,0,0,0,0,0,0,0
01/01/1998,0,1,0,0,0,0,0,0,0,0,0
01/01/1999,0,0,1,0,0,0,0,0,0,0,0
01/01/2003,0,0,0,1,0,0,0,0,0,0,0
01/01/2007,0,0,0,1,0,0,0,0,0,0,0
01/01/2009,0,0,1,0,0,0,0,0,0,0,0
01/01/2011,0,0,0,0,0,0,0,0,1,0,0
01/01/2012,0,0,0,1,0,0,0,0,0,0,0
01/02/1989,0,0,1,0,0,0,0,0,0,0,0
01/02/1992,0,0,1,0,0,0,0,0,0,0,0
01/02/1993,0,0,0,1,0,0,0,0,0,0,0
01/02/2005,0,0,0,1,0,0,0,0,0,0,0
01/02/2008,0,1,0,0,0,0,0,0,0,0,0
01/02/2009,0,1,0,0,0,0,0,0,0,0,0
01/02/2010,0,1,0,0,0,0,0,0,0,0,0
01/03/1989,0,0,1,0,0,0,0,0,0,0,0
01/03/2009,0,0,0,1,0,0,0,0,0,0,0
01/04/1969,0,0,1,0,0,0,0,0,0,0,0
01/04/1995,0,0,0,0,0,0,0,0,0,0,0
01/04/2002,0,0,0,1,0,0,0,0,0,0,0
01/04/2004,0,0,1,0,0,0,0,0,0,0,0
01/04/2005,0,0,0,0,0,0,0,0,0,0,0
01/04/2009,0,1,0,0,0,0,0,0,0,0,0
01/05/1982,0,0,1,0,0,0,0,0,0,0,0
01/05/1988,0,0,0,1,0,0,0,0,0,0,0
01/05/1993,0,0,0,0,0,0,0,0,0,0,0
01/05/1994,0,0,1,0,0,0,0,0,0,0,0
01/05/1998,0,0,1,0,0,0,0,0,0,0,0
01/05/2001,0,0,1,0,0,0,0,0,0,0,0
01/05/2009,0,0,0,1,0,0,0,0,0,0,0
01/06/1972,0,0,0,1,0,0,0,0,0,0,0
01/06/1989,0,0,0,1,0,0,0,0,0,0,0
01/06/1998,0,0,0,1,0,0,0,0,0,0,0
01/06/2003,0,0,0,1,0,0,0,0,0,0,0
01/06/2005,0,0,0,1,0,0,0,0,0,0,0
01/06/2008,0,1,0,0,0,0,0,0,0,0,0
01/06/2011,0,1,0,0,0,0,0,0,0,0,0
01/06/2012,0,1,0,0,0,0,0,0,0,0,0
01/07/1987,0,0,0,1,0,0,0,0,0,0,0
01/07/1989,0,0,1,0,0,0,0,0,0,0,0
01/07/1993,0,0,1,0,0,0,0,0,0,0,0
01/07/1997,0,0,1,0,0,0,0,0,0,0,0
01/07/1998,0,0,1,0,0,0,0,0,0,0,0
01/07/1999,0,0,1,0,0,0,0,0,0,0,0
01/07/2000,0,0,1,0,0,0,0,0,0,0,0
01/07/2001,0,0,0,1,0,0,0,0,0,0,0
01/07/2003,0,0,1,0,0,0,0,0,0,0,0
01/07/2005,0,0,1,0,0,0,0,0,0,0,0
01/07/2006,0,0,1,0,0,0,0,0,0,0,0
01/07/2008,0,0,1,0,0,0,0,0,0,0,0
01/07/2009,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,0,0,1,0,0,0,0,0,0,0,0
01/08/1982,0,0,1,0,0,0,0,0,0,0,0
01/08/1997,0,0,0,1,0,0,0,0,0,0,0
01/08/2000,0,0,0,1,0,0,0,0,0,0,0
01/08/2001,0,0,1,0,0,0,0,0,0,0,0
01/08/2007,0,1,0,0,0,0,0,0,0,0,0
01/08/2011,0,0,0,1,0,0,0,0,0,0,0
01/09/1971,0,0,0,1,0,0,0,0,0,0,0
01/09/1975,0,0,1,0,0,0,0,0,0,0,0
01/09/1979,0,0,0,1,0,0,0,0,0,0,0
01/09/1980,0,1,0,0,0,0,0,0,0,0,0
01/09/1985,0,0,1,0,0,0,0,0,0,0,0
