data,Libya,no,yes
Senegal,2.9,3.7,0.7
Morocco,2.4,1.8,4.4
Other (please specify),2.4,1.7,4.7
Eritrea,2.3,2.7,0.9
Somalia,2.3,2.7,1.2
Bangladesh,1.9,2,1.4
Ethiopia,1.7,1.6,1.9
Tunisia,1.7,2,0.7
Mauritania,1.4,1.7,0.5
Cameroon,1.2,1.5,0.5
Burkina Faso,1.2,1.2,1.2
Algeria,1,0.7,1.9
CôtedIvoire,0.9,0.9,0.7
Palestine,0.9,0.1,3.3
Guinea,0.6,0.5,1.2
Pakistan,0.4,0.4,0.5
Kenya,0.2,0.2,0
Don't know,0.1,0,0.2
Prefer not to answer,0.1,0,0.2
Togo,0.1,0.1,0
What are your primary What are your primary languages??,"","",""
Arabic,63,64,59
English,24,21,30
French,29,28,31
Hausa,15,14,16
Songhai/Zarma/Djerma,4,2,9
Sara/Bongo/Bagirmi,1,0,3
Bedawi/Beja,1,0,2
Nubian,2,1,3
Fur,0,0,0
Zaghawa,1,1,1
Dinka ,1,0,2
Fula/Fulani/Fulfulde,1,1,1
Tamasheq,0,0,0
Kanuri,0,0,1
Igbo/Ibo,1,0,3
Yoruba,1,1,2
Akan/Asante/Fante,1,1,3
Bambara,1,1,1
Bengali,2,2,2
Tigrinya,2,3,1
Somali,2,2,1
Other (please specify),4,4,4
When did you arrive in Libya?,"","",""
01/01/2019,2.8,3.4,1.2
01/03/2018,2.5,3.1,0.7
01/02/2019,2.4,3,0.7
01/06/2017,2.4,2.6,1.9
01/03/2019,2.3,2.5,1.6
01/04/2017,2.3,2.4,1.9
01/07/2017,2.3,2.4,1.9
01/05/2017,2.2,2.3,1.9
01/05/2018,2.1,2.5,0.9
01/01/2013,2,2.1,1.9
01/02/2018,1.9,2.3,0.9
01/05/2016,1.9,2,1.6
01/08/2018,1.9,2,1.4
01/10/2018,1.9,2.3,0.7
01/08/2017,1.8,1.9,1.6
01/06/2018,1.7,2,1.2
01/01/2018,1.7,2.2,0.2
01/03/2017,1.7,2,0.9
01/04/2016,1.7,1.4,2.6
01/10/2017,1.7,2.1,0.5
01/04/2018,1.6,2,0.5
01/10/2016,1.6,1.8,0.9
01/01/2015,1.5,1.7,0.7
01/09/2017,1.5,1.8,0.5
01/06/2016,1.4,1.5,1.2
01/07/2018,1.4,1.6,0.9
01/01/2014,1.3,1.6,0.5
01/02/2017,1.3,1.4,1.2
01/04/2019,1.3,1.7,0.2
01/08/2016,1.3,0.9,2.3
01/11/2018,1.3,1.6,0.5
01/05/2015,1.2,1,1.9
01/05/2019,1.2,1.5,0.5
01/07/2015,1.2,0.9,2.1
01/12/2018,1.2,1.5,0.5
01/03/2016,1.2,0.9,1.9
01/07/2016,1.2,1.2,1.2
01/09/2018,1.1,1.3,0.5
01/01/2016,1,1.2,0.5
01/09/2016,1,1.2,0.5
01/12/2017,1,1.2,0.2
01/12/2016,0.9,1,0.5
01/02/2015,0.8,0.6,1.4
01/02/2016,0.8,0.5,1.4
01/04/2015,0.8,0.6,1.2
01/11/2017,0.8,0.9,0.2
01/04/2014,0.7,0.6,0.9
01/07/2014,0.7,0.6,0.9
01/01/2017,0.6,0.7,0.5
01/03/2015,0.6,0.5,1.2
01/08/2015,0.6,0.6,0.7
01/11/2016,0.6,0.7,0.5
01/02/2014,0.6,0.7,0.2
01/05/2014,0.6,0.5,0.9
01/06/2013,0.6,0.6,0.5
01/06/2019,0.6,0.8,0
01/01/2005,0.5,0.4,0.9
01/08/2013,0.5,0.3,1.2
01/08/2014,0.5,0.4,0.9
01/09/2015,0.5,0.6,0.2
01/01/2008,0.5,0.3,0.9
01/04/2012,0.5,0.3,0.9
01/05/2012,0.5,0.4,0.7
01/10/2015,0.5,0.4,0.7
01/07/2012,0.4,0.3,0.5
01/08/2012,0.4,0.2,0.9
01/10/2014,0.4,0.4,0.5
01/12/2014,0.4,0.1,1.4
01/01/2009,0.3,0.4,0.2
01/02/2009,0.3,0.4,0.2
01/05/2013,0.3,0.2,0.9
01/09/2012,0.3,0.2,0.9
01/12/2013,0.3,0.3,0.5
01/02/2013,0.3,0.2,0.7
01/03/2012,0.3,0.4,0
01/03/2013,0.3,0.3,0.2
01/06/2012,0.3,0.3,0.2
01/06/2014,0.3,0.2,0.5
01/06/2015,0.3,0.2,0.5
01/07/2013,0.3,0.2,0.5
01/08/2007,0.3,0.3,0.2
01/10/2012,0.3,0.3,0.2
01/11/2013,0.3,0.3,0.2
01/11/2015,0.3,0.2,0.5
01/01/2001,0.2,0.1,0.7
01/01/2006,0.2,0.3,0
01/01/2007,0.2,0.2,0.2
01/03/2014,0.2,0.2,0.2
01/04/2013,0.2,0.3,0
01/07/2019,0.2,0.2,0.2
01/08/2000,0.2,0.1,0.7
01/08/2006,0.2,0,0.9
01/01/1999,0.2,0.1,0.5
01/01/2010,0.2,0.1,0.5
01/02/2007,0.2,0.2,0.2
01/06/2009,0.2,0.2,0.2
01/08/2008,0.2,0,0.7
01/08/2009,0.2,0,0.7
01/09/1991,0.2,0,0.7
01/09/2013,0.2,0.2,0.2
01/10/2013,0.2,0.2,0.2
01/11/2012,0.2,0.2,0
01/12/2011,0.2,0,0.7
01/12/2015,0.2,0.2,0
01/01/1989,0.1,0.1,0.2
01/01/1998,0.1,0.1,0.2
01/01/2012,0.1,0,0.5
01/02/1992,0.1,0,0.5
01/02/2012,0.1,0.1,0.2
01/03/1988,0.1,0,0.5
01/03/2005,0.1,0.1,0.2
01/05/2001,0.1,0,0.5
01/05/2010,0.1,0.1,0.2
01/06/1997,0.1,0,0.5
01/06/2011,0.1,0.2,0
01/07/2008,0.1,0.2,0
01/09/2009,0.1,0.1,0.2
01/12/2012,0.1,0.1,0.2
01/01/1955,0.1,0,0.2
01/01/1970,0.1,0,0.2
01/01/1981,0.1,0,0.2
01/01/1985,0.1,0,0.2
01/01/1988,0.1,0,0.2
01/01/1992,0.1,0,0.2
01/01/2000,0.1,0,0.2
01/01/2003,0.1,0,0.2
01/01/2004,0.1,0.1,0
01/01/2011,0.1,0.1,0
01/02/1989,0.1,0,0.2
01/02/1993,0.1,0,0.2
01/02/2002,0.1,0,0.2
01/02/2008,0.1,0.1,0
01/02/2010,0.1,0.1,0
01/03/1989,0.1,0,0.2
01/03/2003,0.1,0.1,0
01/03/2009,0.1,0,0.2
01/03/2010,0.1,0,0.2
01/04/1969,0.1,0,0.2
01/04/1981,0.1,0,0.2
01/04/1991,0.1,0,0.2
01/04/1994,0.1,0,0.2
01/04/1995,0.1,0.1,0
01/04/2005,0.1,0.1,0
01/04/2006,0.1,0.1,0
01/04/2008,0.1,0,0.2
01/04/2010,0.1,0,0.2
01/04/2011,0.1,0.1,0
01/05/1982,0.1,0,0.2
01/05/1988,0.1,0,0.2
01/05/1994,0.1,0,0.2
01/05/1998,0.1,0,0.2
01/05/2003,0.1,0.1,0
01/05/2005,0.1,0,0.2
01/05/2006,0.1,0,0.2
01/05/2009,0.1,0.1,0
01/06/1972,0.1,0,0.2
01/06/1989,0.1,0,0.2
01/06/1998,0.1,0,0.2
01/06/1999,0.1,0,0.2
01/06/2004,0.1,0,0.2
01/06/2005,0.1,0,0.2
01/06/2008,0.1,0.1,0
01/06/2010,0.1,0,0.2
01/07/1987,0.1,0,0.2
01/07/1989,0.1,0.1,0
01/07/1991,0.1,0.1,0
01/07/1993,0.1,0,0.2
01/07/1995,0.1,0,0.2
01/07/1998,0.1,0,0.2
01/07/2002,0.1,0,0.2
01/07/2003,0.1,0.1,0
01/07/2005,0.1,0,0.2
01/07/2006,0.1,0,0.2
01/07/2007,0.1,0,0.2
01/07/2010,0.1,0.1,0
01/07/2011,0.1,0,0.2
01/08/1982,0.1,0,0.2
01/08/1990,0.1,0.1,0
01/08/1997,0.1,0.1,0
01/08/1999,0.1,0,0.2
01/08/2002,0.1,0,0.2
01/08/2004,0.1,0,0.2
01/08/2005,0.1,0.1,0
01/08/2010,0.1,0,0.2
01/08/2011,0.1,0,0.2
01/09/1971,0.1,0,0.2
01/09/1975,0.1,0,0.2
01/09/1979,0.1,0,0.2
01/09/1980,0.1,0,0.2
01/09/1981,0.1,0,0.2
01/09/1985,0.1,0,0.2
01/09/1996,0.1,0,0.2
01/09/2002,0.1,0.1,0
01/09/2006,0.1,0,0.2
01/09/2008,0.1,0,0.2
01/09/2010,0.1,0.1,0
01/10/1988,0.1,0,0.2
01/10/2000,0.1,0,0.2
01/10/2002,0.1,0,0.2
01/10/2007,0.1,0,0.2
01/10/2009,0.1,0,0.2
01/10/2010,0.1,0.1,0
01/11/1990,0.1,0,0.2
01/11/2002,0.1,0,0.2
01/11/2003,0.1,0,0.2
01/11/2010,0.1,0,0.2
01/11/2011,0.1,0,0.2
01/11/2014,0.1,0.1,0
01/12/1985,0.1,0,0.2
01/12/2003,0.1,0,0.2
01/12/2005,0.1,0,0.2
01/12/2007,0.1,0.1,0
time_of_arrival,"","",""
over_a_year,81.7,78.2,92.1
within_a_year,18.3,21.8,7.9
When did you arrive in the current baladiya?,"","",""
01/02/2019,3.6,4.2,1.6
01/01/2019,3.4,4.1,1.4
01/03/2019,3.2,3.5,2.3
01/01/2018,3,3.7,1.2
01/04/2018,2.4,2.9,0.9
01/05/2017,2.4,2.6,1.9
01/07/2017,2.4,2.3,2.6
01/08/2017,2.4,2.7,1.4
01/04/2019,2.3,2.4,1.9
01/08/2018,2.3,2.5,1.6
01/06/2018,2.2,2.7,0.9
01/03/2018,2.2,2.4,1.4
01/12/2018,2.2,2.3,1.4
01/01/2017,2.1,2.6,0.7
01/05/2018,2.1,2.4,1.2
01/10/2017,2,2.3,1.2
01/09/2017,1.9,2,1.9
01/06/2017,1.9,1.9,1.9
01/03/2017,1.7,2.2,0.5
01/04/2017,1.7,2,1.2
01/11/2018,1.7,2,0.9
01/07/2018,1.7,1.6,1.9
01/09/2018,1.7,2,0.9
01/11/2017,1.6,1.9,0.9
01/04/2016,1.6,1.5,1.9
01/07/2016,1.5,1.4,1.6
01/05/2019,1.4,1.8,0.2
01/10/2018,1.4,1.6,0.9
01/02/2018,1.3,1.4,1.2
01/08/2016,1.3,1,2.3
01/11/2016,1.3,1.2,1.6
01/12/2017,1.3,1.2,1.9
01/06/2019,1.3,1.6,0.5
01/01/2016,1.2,1.4,0.7
01/02/2017,1.2,1.4,0.5
01/05/2016,1.2,1.4,0.5
01/08/2015,1.1,0.9,1.6
01/10/2016,1,1.2,0.7
01/12/2016,1,1.2,0.5
01/07/2015,0.9,0.5,2.1
01/09/2016,0.9,0.9,0.7
01/01/2015,0.8,1,0.2
01/04/2015,0.8,0.7,1.2
01/07/2019,0.8,0.9,0.2
01/03/2016,0.7,0.5,1.2
01/06/2016,0.7,0.6,0.9
01/10/2015,0.7,0.8,0.5
01/12/2015,0.6,0.4,1.4
01/05/2015,0.6,0.5,0.7
01/09/2015,0.6,0.5,0.9
01/03/2015,0.5,0.5,0.7
01/04/2014,0.5,0.4,0.9
01/11/2015,0.5,0.5,0.7
01/02/2016,0.5,0.5,0.2
01/01/2013,0.4,0.3,0.7
01/01/2014,0.4,0.5,0.2
01/05/2014,0.4,0.2,0.9
01/05/2013,0.3,0.2,0.7
01/06/2013,0.3,0.2,0.7
01/06/2014,0.3,0.3,0.5
01/12/2014,0.3,0.2,0.7
01/02/2015,0.3,0.2,0.5
01/04/2012,0.3,0.2,0.5
01/05/2012,0.3,0.2,0.5
01/06/2015,0.3,0.2,0.5
01/07/2012,0.3,0.2,0.7
01/08/2013,0.3,0.3,0.2
01/09/2014,0.3,0.2,0.5
01/10/2012,0.3,0.2,0.7
01/12/2013,0.3,0.3,0.2
01/01/2008,0.2,0,0.9
01/02/2013,0.2,0.1,0.7
01/02/2014,0.2,0.2,0.5
01/04/2013,0.2,0.2,0.2
01/07/2014,0.2,0.2,0.2
01/08/2009,0.2,0.1,0.7
01/08/2014,0.2,0,0.9
01/09/2013,0.2,0.2,0.5
01/10/2013,0.2,0.3,0
01/10/2014,0.2,0.2,0.2
01/12/2012,0.2,0.2,0.5
01/01/2001,0.2,0.1,0.5
01/02/2007,0.2,0.2,0.2
01/03/2012,0.2,0.2,0.2
01/03/2013,0.2,0.2,0.2
01/03/2014,0.2,0.2,0
01/08/2010,0.2,0.2,0.2
01/08/2019,0.2,0.1,0.5
01/01/2005,0.1,0.1,0.2
01/03/1988,0.1,0,0.5
01/03/2010,0.1,0,0.5
01/04/2010,0.1,0.1,0.2
01/05/2005,0.1,0,0.5
01/05/2007,0.1,0.1,0.2
01/06/2009,0.1,0.1,0.2
01/07/2013,0.1,0.1,0
01/08/2006,0.1,0,0.5
01/08/2008,0.1,0,0.5
01/08/2012,0.1,0.1,0.2
01/09/2008,0.1,0,0.5
01/09/2009,0.1,0,0.5
01/09/2012,0.1,0.1,0.2
01/10/2007,0.1,0,0.5
01/10/2009,0.1,0.1,0.2
01/11/2013,0.1,0.2,0
01/11/2014,0.1,0,0.5
01/01/1970,0.1,0,0.2
01/01/1988,0.1,0,0.2
01/01/1989,0.1,0,0.2
01/01/1990,0.1,0.1,0
01/01/1992,0.1,0,0.2
01/01/1998,0.1,0,0.2
01/01/1999,0.1,0,0.2
01/01/2003,0.1,0,0.2
01/01/2007,0.1,0,0.2
01/01/2009,0.1,0,0.2
01/01/2011,0.1,0.1,0
01/01/2012,0.1,0,0.2
01/02/1989,0.1,0,0.2
01/02/1992,0.1,0,0.2
01/02/1993,0.1,0,0.2
01/02/2005,0.1,0,0.2
01/02/2008,0.1,0.1,0
01/02/2009,0.1,0.1,0
01/02/2010,0.1,0.1,0
01/03/1989,0.1,0,0.2
01/03/2009,0.1,0,0.2
01/04/1969,0.1,0,0.2
01/04/1995,0.1,0.1,0
01/04/2002,0.1,0,0.2
01/04/2004,0.1,0.1,0
01/04/2005,0.1,0.1,0
01/04/2009,0.1,0.1,0
01/05/1982,0.1,0,0.2
01/05/1988,0.1,0,0.2
01/05/1993,0.1,0,0.2
01/05/1994,0.1,0,0.2
01/05/1998,0.1,0,0.2
01/05/2001,0.1,0,0.2
01/05/2009,0.1,0,0.2
01/06/1972,0.1,0,0.2
01/06/1989,0.1,0,0.2
01/06/1998,0.1,0,0.2
01/06/2003,0.1,0.1,0
01/06/2005,0.1,0,0.2
01/06/2008,0.1,0.1,0
01/06/2011,0.1,0.1,0
01/06/2012,0.1,0.1,0
01/07/1987,0.1,0,0.2
01/07/1989,0.1,0.1,0
01/07/1993,0.1,0,0.2
01/07/1997,0.1,0,0.2
01/07/1998,0.1,0,0.2
01/07/1999,0.1,0,0.2
01/07/2000,0.1,0,0.2
01/07/2001,0.1,0,0.2
01/07/2003,0.1,0.1,0
01/07/2005,0.1,0,0.2
01/07/2006,0.1,0,0.2
01/07/2008,0.1,0,0.2
01/07/2009,0.1,0.1,0
01/07/2011,0.1,0.1,0
01/08/1982,0.1,0,0.2
01/08/1997,0.1,0.1,0
01/08/2000,0.1,0,0.2
01/08/2001,0.1,0,0.2
01/08/2007,0.1,0.1,0
01/08/2011,0.1,0,0.2
01/09/1971,0.1,0,0.2
01/09/1975,0.1,0,0.2
01/09/1979,0.1,0,0.2
01/09/1980,0.1,0,0.2
01/09/1985,0.1,0,0.2
01/09/1991,0.1,0,0.2
01/09/1992,0.1,0,0.2
01/09/1993,0.1,0,0.2
01/09/1994,0.1,0,0.2
01/09/1996,0.1,0,0.2
01/09/2002,0.1,0,0.2
01/09/2006,0.1,0,0.2
01/09/2007,0.1,0.1,0
01/09/2010,0.1,0.1,0
01/10/1988,0.1,0,0.2
01/10/1989,0.1,0,0.2
01/10/2000,0.1,0,0.2
01/10/2006,0.1,0,0.2
01/10/2019,0.1,0.1,0
01/11/2001,0.1,0,0.2
01/11/2002,0.1,0,0.2
01/11/2008,0.1,0.1,0
01/11/2010,0.1,0,0.2
01/11/2011,0.1,0,0.2
01/11/2012,0.1,0.1,0
01/12/1985,0.1,0,0.2
01/12/2003,0.1,0,0.2
01/12/2007,0.1,0,0.2
01/12/2008,0.1,0.1,0
01/12/2009,0.1,0,0.2
01/12/2011,0.1,0,0.2
How many people live in your household (including the interviewee) in Libya?,"","",""
Average,2.81632653061224,2.28783151326053,4.3906976744186
How old are you?,"","",""
Average,33.1708454810496,30.5811232449298,40.9232558139535
"For enumerator:
What is the sex of the respondent?","","",""
Male,92.2,97.4,77.2
Female,7.8,2.6,22.8
Infants 0-5years: (male),"","",""
Average,0.0979591836734694,0.00546021840873635,0.367441860465116
Children 6-14 years: (male),"","",""
Average,0.136443148688047,0.0218408736349454,0.47906976744186
Youth 15-17 years: (male),"","",""
Average,0.0985422740524781,0.0460218408736349,0.255813953488372
Adults 18-64: (male),"","",""
Average,1.82740524781341,2.05148205928237,1.16511627906977
Elderly 65+ years: (male),"","",""
Average,0.0157434402332362,0.0062402496099844,0.0441860465116279
nb_male,"","",""
Average,2.17551020408163,2.13026521060842,2.31162790697674
under18_male,"","",""
Average,0.332944606413994,0.0733229329173167,1.10232558139535
over18_male,"","",""
Average,1.84256559766764,2.05694227769111,1.2093023255814
school_aged_boys,"","",""
Average,0.234985422740525,0.0678627145085803,0.734883720930233
Infants 0-5years: (female),"","",""
Average,0.0833819241982507,0.00390015600624025,0.318604651162791
Children 6-14 years: (female),"","",""
Average,0.100291545189504,0.0117004680187207,0.365116279069767
Youth 15-17 years: (female),"","",""
Average,0.0530612244897959,0.0218408736349454,0.146511627906977
Adults 18-64: (female),"","",""
Average,0.387755102040816,0.112324492979719,1.20697674418605
Elderly 65+ years: (female),"","",""
Average,0.0122448979591837,0.00234009360374415,0.0418604651162791
nb_female,"","",""
Average,0.636734693877551,0.15210608424337,2.07906976744186
under18_female,"","",""
Average,0.236734693877551,0.0374414976599064,0.830232558139535
over18_female,"","",""
Average,0.4,0.114664586583463,1.24883720930233
school_aged_girls,"","",""
Average,0.1533527696793,0.0335413416536661,0.511627906976744
nb_ind_hh,"","",""
Average,2.81224489795918,2.28237129485179,4.3906976744186
nb_under18,"","",""
Average,0.569679300291545,0.110764430577223,1.93255813953488
nb_over18,"","",""
Average,2.24256559766764,2.17160686427457,2.45813953488372
Are you currently pregnant?,"","",""
No,89.5,87.9,90.8
Yes,9,12.1,7.1
Don't know,1.5,0,2
male,"","",""
Average,0.174927113702624,0.166926677067083,0.197674418604651
female,"","",""
Average,0.0985422740524781,0.0639625585023401,0.188372093023256
"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)","","",""
Average,5.76618075801749,5.84633385335413,5.51860465116279
"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)","","",""
Average,3.44489795918367,3.39703588143526,3.57906976744186
"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)","","",""
Average,4.10087463556851,3.84477379095164,4.85348837209302
"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)","","",""
Average,3.37142857142857,3.19890795631825,3.87209302325581
"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)","","",""
Average,5.42332361516035,5.25195007800312,5.92325581395349
"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)","","",""
Average,2.0402332361516,1.92589703588144,2.36279069767442
"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)","","",""
Average,5.16209912536443,5.01092043681747,5.6
"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)","","",""
Average,4.63440233236152,4.50858034321373,4.99302325581395
"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)","","",""
Average,5.07055393586006,5.04212168486739,5.14651162790698
What are the top three sources from which you typically acquire food?,"","",""
Own production,4,3,7
"Received as food aid through government, UN, NGOs, civil society, etc.",2,1,6
Received as gift from friends or relatives,13,12,15
Market (purchased with cash) ,96,96,95
Market (purchased on credit),14,9,27
Market (purchased with cheque),1,1,1
Work or barter for food,6,5,8
"Gathering, hunting, or fishing",1,1,2
"Borrowing food from relatives, hosts, or external parties",4,2,9
Zakat,3,4,3
Other (please specify),1,1,1
Don't know,0,0,0
Prefer not to answer,0,0,0
"1. Rely on less preferred, less expensive food?","","",""
Average,2.48862973760933,2.44305772230889,2.60697674418605
2. Borrow food or rely on help from friends or relatives?,"","",""
Average,0.543440233236152,0.475039001560062,0.737209302325581
3. Reduce the number of meals eaten per day?,"","",""
Average,1.47288629737609,1.30811232449298,1.95581395348837
4. Reduce the size of portions or meals?,"","",""
Average,1.53236151603499,1.36505460218409,2.0046511627907
5. Reduce the quantity consumed by adults so children could eat?,"","",""
Average,0.401166180758017,0.141965678627145,1.16511627906977
"Have you engaged in agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or food consumption during the past year?","","",""
No,87,89,81
"Yes, crop production",8,6,12
"Yes, livestock production",7,5,11
"Yes, fishing/fisheries",0,0,0
Other (please specify),1,1,1
Don't know,0,0,0
Prefer not to answer,0,0,0
What type of shelter do you live in?,"","",""
House,40.9,37.1,52.3
Apartment (including one-room apartments),23.1,20.3,31.6
Unfinished room(s),22.1,26.4,9.3
"Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",7.9,9.4,3.5
Connection house,2.8,3.2,1.6
"Public building not usually used for shelter (school, mosque, etc.)",1.2,1.2,1.2
Camp or informal settlement for displaced persons,1.2,1.6,0
Prefer not to answer,0.2,0.2,0
Temporary shelter provided by INGO or local NGO,0.2,0.2,0.2
Other (please specify),0.1,0.2,0
Outdoors (no shelter at all),0.1,0.2,0
Tent or caravan,0.1,0.1,0.2
Hotel,0.1,0.1,0
How many rooms are in your shelter?,"","",""
Average,2.15504400812458,1.99163568773234,2.60050251256281
How would you describe your occupancy status?,"","",""
Rental (with verbal agreement),63.2,62.7,64.4
Housing provided by employer,22.4,26.4,10.7
Rental (with written contract),5.2,2.6,13
Being hosted for free (not including by employer),4.3,4.5,3.7
Housing provided by public authority,2.3,2.5,1.6
Ownership ,1.2,0.3,4
Housing provided by smuggler,1,0.7,1.9
Squatting (without consent of owner),0.2,0.2,0.2
Living in the streets or public space,0.1,0.1,0.2
Don't know,0.1,0,0.2
Prefer not to answer,0.1,0.1,0
Other (please specify),0.1,0.1,0
How much does your rental property cost per month (in LYD)?,"","",""
Average,349.510332434861,311.49358974359,440.575757575758
Has the rent increased or decreased since the beginning of 2019?,"","",""
No change,74.3,78.9,62.5
Increased,20.9,16.9,31.2
Decreased,2.6,2,3.9
Don't know,2.1,2.2,2.1
Prefer not to answer,0.1,0,0.3
Who is hosting you for free?,"","",""
Libyan friend,50.7,45.6,68.8
Migrant friend,37,45.6,6.2
Family member,8.2,5.3,18.8
Other (please specify),4.1,3.5,6.2
What are your main shelter-related concerns?,"","",""
no shelter related concerns,51,54,43
There is no shelter,4,4,5
Shelters are overcrowded,17,21,7
Homes are so damaged that they are uninhabitable,5,4,9
Unexploded remnants of war and landmines,0,0,0
Building materials to repair shelters are unavailable,2,1,5
Building services/skills are unavailable,2,2,1
Lack of access to basic utilities,6,5,6
Partial access to basic utilities,8,6,14
Lack of basic household items,12,10,20
Lack of privacy,12,12,11
"Lack of gender-sensitive WASH facilities (bathing, washing, toilet, etc)",4,2,8
Insecurity or conflict,8,6,15
Other (please specify),0,0,1
Don't know,0,0,0
Prefer not to answer,0,0,1
How would you describe the overall condition of your shelter? Please refer to the reference pictures below.,"","",""
No damage / negligible damage,51.1,50.7,52
"Light damage (repairs needed, but shelter is livable)",37.5,37.9,36.6
Medium damage,10.3,10.2,10.7
Heavy damage (shelter is not livable without repairs),0.9,1,0.7
Destroyed (shelter needs to be reconstructed),0.2,0.2,0
Who do you live with?,"","",""
I live alone,10,13,0
I live with family,25,0,100
I live with Libyan friends,1,1,0
I live with migrant friends,47,62,2
I live with colleagues,14,19,1
I live with my employer,2,2,1
I live with my landlord,0,0,0
I live with other refugees/migrants that I did not previously know,9,13,0
I live with Libyans that I did not previously know,0,0,0
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,0
How many people do you share your accommodation with?,"","",""
Average,5.04896907216495,5.35656836461126,4.25813953488372
Is your cooking space separated from the rest of your living space?,"","",""
Yes,56.7,52.2,70.5
No,42.8,47.4,29.1
Don't know,0.2,0.2,0.2
Prefer not to answer,0.2,0.2,0.2
What is the total area (m²) of your accommodation (excluding the cooking space and bathing/toilet facilities if they are separate)?,"","",""
Average,54.0630472854641,40.0390625,96.0232558139535
What are the biggest challenges you face in accessing shelter?,"","",""
Do not face any challenges ,43,49,28
Do not have the appropriate documents ,16,15,19
Do not have enough money ,24,20,37
Discrimatory treatment/Landlords do not trust me ,6,4,10
Do not have the right contacts to find a place ,4,4,4
Fear of being overcharged ,26,23,37
Lack of information about finding shelter,7,8,6
Lack of freedom of movement,8,7,10
Tensions with host community,8,7,10
"Safety and security concerns (threat, danger, etc)",8,6,13
Other (please specify),0,1,0
Don't know,0,0,0
Prefer not to answer,0,0,0
Have you experienced eviction or the threat of eviction within the past 6 months?,"","",""
No,89.7,92.3,82.1
"Yes, have been threatened with eviction",6.7,4.1,14
"Yes, have been recently evicted",2.5,2.3,3
Don't know,0.7,0.8,0.5
Prefer not to answer,0.5,0.5,0.5
Why do you think you were evicted / threatened with eviction?,"","",""
"Forced eviction, i.e. from armed group pressure or land-grabbing",14,12,16
Land acquisitions,2,1,3
Clearance of camp/public space by authorities,8,12,3
Discrimination based on ethnicity/tribe,10,9,11
Cannot afford rent,37,27,47
No documentation to prove legal ownership,18,20,16
Punitive or retaliatory actions,0,0,0
Authorities requested that you leave ,2,0,4
Host family no longer able to host our family,4,0,10
Request to vacate from owner of buidling/land,26,24,27
Lack of rental contract ,2,2,1
Lack of required documents,6,7,5
Other (please specify),2,4,0
Don't know,1,2,0
Prefer not to answer,0,0,0
1. Mattresses,"","",""
