data,Libya,no,yes
01/04/1981,0.1,0.1,0
01/04/1991,0.1,0.1,0
01/04/1994,0.1,0.1,0
01/04/1995,0.1,0.1,0
01/04/2005,0.1,0,0.3
01/04/2006,0.1,0,0.3
01/04/2008,0.1,0,0
01/04/2010,0.1,0.1,0
01/04/2011,0.1,0.1,0
01/05/1982,0.1,0.1,0
01/05/1988,0.1,0.1,0
01/05/1994,0.1,0.1,0
01/05/1998,0.1,0.1,0
01/05/2003,0.1,0,0.3
01/05/2005,0.1,0.1,0
01/05/2006,0.1,0.1,0
01/05/2009,0.1,0.1,0
01/06/1972,0.1,0.1,0
01/06/1989,0.1,0.1,0
01/06/1998,0.1,0.1,0
01/06/1999,0.1,0.1,0
01/06/2004,0.1,0.1,0
01/06/2005,0.1,0.1,0
01/06/2008,0.1,0.1,0
01/06/2010,0.1,0.1,0
01/07/1987,0.1,0.1,0
01/07/1989,0.1,0,0.3
01/07/1991,0.1,0,0.3
01/07/1993,0.1,0.1,0
01/07/1995,0.1,0.1,0
01/07/1998,0.1,0.1,0
01/07/2002,0.1,0.1,0
01/07/2003,0.1,0,0.3
01/07/2005,0.1,0.1,0
01/07/2006,0.1,0.1,0
01/07/2007,0.1,0,0
01/07/2010,0.1,0.1,0
01/07/2011,0.1,0.1,0
01/08/1982,0.1,0.1,0
01/08/1990,0.1,0.1,0
01/08/1997,0.1,0,0.3
01/08/1999,0.1,0.1,0
01/08/2002,0.1,0.1,0
01/08/2004,0.1,0.1,0
01/08/2005,0.1,0,0.3
01/08/2010,0.1,0.1,0
01/08/2011,0.1,0.1,0
01/09/1971,0.1,0.1,0
01/09/1975,0.1,0.1,0
01/09/1979,0.1,0.1,0
01/09/1980,0.1,0.1,0
01/09/1981,0.1,0.1,0
01/09/1985,0.1,0.1,0
01/09/1996,0.1,0.1,0
01/09/2002,0.1,0,0.3
01/09/2003,0.1,0.1,0
01/09/2006,0.1,0.1,0
01/09/2008,0.1,0.1,0
01/09/2010,0.1,0.1,0
01/10/1988,0.1,0.1,0
01/10/2000,0.1,0.1,0
01/10/2002,0.1,0.1,0
01/10/2007,0.1,0.1,0
01/10/2009,0.1,0.1,0
01/10/2010,0.1,0,0.3
01/10/2011,0.1,0.1,0
01/11/1990,0.1,0.1,0
01/11/2002,0.1,0.1,0
01/11/2003,0.1,0.1,0
01/11/2010,0.1,0.1,0
01/11/2011,0.1,0.1,0
01/11/2014,0.1,0,0.3
01/12/1985,0.1,0.1,0
01/12/2003,0.1,0.1,0
01/12/2005,0.1,0.1,0
01/12/2007,0.1,0.1,0
time_of_arrival,"","",""
over_a_year,81.8,82.1,79.9
within_a_year,18.2,17.9,20.1
When did you arrive in the current baladiya?,"","",""
01/02/2019,3.6,3.5,3.9
01/01/2019,3.4,3.8,1.9
01/03/2019,3.2,3.4,2.6
01/01/2018,3,3,2.9
01/04/2018,2.4,2.6,1.3
01/05/2017,2.4,2.6,1.6
01/07/2017,2.4,2.2,3.2
01/08/2017,2.4,2.5,1.6
01/04/2019,2.3,2.2,2.9
01/08/2018,2.3,1.9,3.6
01/06/2018,2.2,2.3,1.9
01/03/2018,2.2,2.2,1.9
01/12/2018,2.2,2.1,2.6
01/01/2017,2.1,2.2,1.3
01/05/2018,2.1,2.1,1.9
01/10/2017,2,1.9,2.6
01/09/2017,1.9,2,1.6
01/06/2017,1.9,2.1,0.6
01/11/2018,1.8,1.6,2.9
01/03/2017,1.7,1.6,2.6
01/04/2017,1.7,1.8,1.3
01/07/2018,1.7,1.6,2.3
01/09/2018,1.7,1.7,1.9
01/11/2017,1.6,1.7,1.3
01/04/2016,1.6,1.2,3.2
01/07/2016,1.5,1.7,0.3
01/05/2019,1.4,1.3,1.9
01/10/2018,1.4,1.3,1.9
01/02/2018,1.3,1.2,1.9
01/08/2016,1.3,1.3,1.6
01/11/2016,1.3,1.4,1
01/12/2017,1.3,1.4,1.3
01/06/2019,1.3,1.2,1.3
01/01/2016,1.2,1.5,0
01/02/2017,1.2,1.2,1
01/05/2016,1.2,1.1,1.6
01/08/2015,1.1,1.2,0.6
01/10/2016,1,1,1.3
01/12/2016,1,0.8,1.9
01/07/2015,0.9,1,0
01/09/2016,0.9,0.9,1
01/01/2015,0.8,0.9,0.6
01/04/2015,0.8,0.8,1
01/07/2019,0.8,0.7,0.6
01/03/2016,0.7,0.7,0.3
01/06/2016,0.7,0.4,1.6
01/10/2015,0.7,0.6,1
01/12/2015,0.6,0.7,0.3
01/05/2015,0.6,0.5,1
01/09/2015,0.6,0.6,0.6
01/03/2015,0.5,0.4,1.3
01/04/2014,0.5,0.4,1
01/11/2015,0.5,0.5,0.6
01/02/2016,0.5,0.6,0
01/01/2013,0.4,0.5,0
01/01/2014,0.4,0.4,0.3
01/05/2014,0.4,0.4,0.3
01/06/2013,0.4,0.5,0
01/05/2013,0.3,0.3,0.6
01/06/2014,0.3,0.2,1
01/08/2013,0.3,0.3,0.6
01/12/2014,0.3,0.3,0.6
01/02/2015,0.3,0.3,0.3
01/04/2012,0.3,0.3,0.3
01/05/2012,0.3,0.4,0
01/06/2015,0.3,0.3,0.3
01/07/2012,0.3,0.3,0.3
01/09/2014,0.3,0.3,0.3
01/10/2012,0.3,0.3,0.3
01/12/2013,0.3,0.4,0
01/01/2008,0.2,0.3,0
01/02/2013,0.2,0.3,0
01/02/2014,0.2,0.2,0.3
01/04/2013,0.2,0.2,0.3
01/07/2014,0.2,0.1,0.6
01/08/2009,0.2,0.2,0.3
01/08/2014,0.2,0.3,0
01/09/2013,0.2,0.2,0.3
01/10/2013,0.2,0.1,0.6
01/10/2014,0.2,0.2,0.3
01/12/2012,0.2,0.3,0
01/01/2001,0.2,0.1,0.3
01/02/2007,0.2,0.2,0
01/03/2012,0.2,0.2,0
01/03/2013,0.2,0.1,0.6
01/03/2014,0.2,0.1,0.3
01/08/2010,0.2,0.1,0.3
01/08/2019,0.2,0.2,0
01/01/2005,0.1,0.1,0
01/03/1988,0.1,0.1,0.3
01/03/2010,0.1,0.1,0
01/04/2010,0.1,0.1,0
01/05/2005,0.1,0.1,0
01/05/2007,0.1,0.1,0
01/06/2009,0.1,0,0.6
01/07/2013,0.1,0.1,0.3
01/08/2006,0.1,0.1,0
01/08/2008,0.1,0.1,0
01/08/2012,0.1,0.1,0.3
01/09/2008,0.1,0.1,0
01/09/2009,0.1,0.1,0
01/09/2012,0.1,0.1,0.3
01/10/2007,0.1,0.1,0
01/10/2009,0.1,0.1,0
01/11/2013,0.1,0.1,0
01/11/2014,0.1,0.1,0
01/01/1970,0.1,0.1,0
01/01/1988,0.1,0.1,0
01/01/1989,0.1,0.1,0
01/01/1990,0.1,0.1,0
01/01/1992,0.1,0.1,0
01/01/1998,0.1,0.1,0
01/01/1999,0.1,0.1,0
01/01/2003,0.1,0,0
01/01/2007,0.1,0.1,0
01/01/2009,0.1,0.1,0
01/01/2011,0.1,0.1,0
01/01/2012,0.1,0.1,0
01/02/1989,0.1,0.1,0
01/02/1992,0.1,0,0
01/02/1993,0.1,0.1,0
01/02/2005,0.1,0.1,0
01/02/2008,0.1,0.1,0
01/02/2009,0.1,0,0.3
01/02/2010,0.1,0,0.3
01/03/1989,0.1,0.1,0
01/03/2009,0.1,0.1,0
01/04/1969,0.1,0.1,0
01/04/1995,0.1,0.1,0
01/04/2002,0.1,0.1,0
01/04/2004,0.1,0.1,0
01/04/2005,0.1,0,0.3
01/04/2009,0.1,0,0.3
01/05/1982,0.1,0.1,0
01/05/1988,0.1,0.1,0
01/05/1993,0.1,0.1,0
01/05/1994,0.1,0.1,0
01/05/1998,0.1,0.1,0
01/05/2001,0.1,0.1,0
01/05/2009,0.1,0.1,0
01/06/1972,0.1,0.1,0
01/06/1989,0.1,0.1,0
01/06/1998,0.1,0.1,0
01/06/2003,0.1,0.1,0
01/06/2005,0.1,0.1,0
01/06/2008,0.1,0.1,0
01/06/2011,0.1,0.1,0
01/06/2012,0.1,0.1,0
01/07/1987,0.1,0.1,0
01/07/1989,0.1,0,0.3
01/07/1993,0.1,0.1,0
01/07/1997,0.1,0.1,0
01/07/1998,0.1,0.1,0
01/07/1999,0.1,0.1,0
01/07/2000,0.1,0.1,0
01/07/2001,0.1,0.1,0
01/07/2003,0.1,0,0.3
01/07/2005,0.1,0.1,0
01/07/2006,0.1,0.1,0
01/07/2008,0.1,0.1,0
01/07/2009,0.1,0,0.3
01/07/2011,0.1,0,0.3
01/08/1982,0.1,0.1,0
01/08/1997,0.1,0,0.3
01/08/2000,0.1,0.1,0
01/08/2001,0.1,0.1,0
01/08/2007,0.1,0.1,0
01/08/2011,0.1,0.1,0
01/09/1971,0.1,0.1,0
01/09/1975,0.1,0.1,0
01/09/1979,0.1,0.1,0
01/09/1980,0.1,0.1,0
01/09/1985,0.1,0.1,0
01/09/1991,0.1,0.1,0
01/09/1992,0.1,0.1,0
01/09/1993,0.1,0.1,0
01/09/1994,0.1,0.1,0
01/09/1996,0.1,0.1,0
01/09/2002,0.1,0.1,0
01/09/2006,0.1,0.1,0
01/09/2007,0.1,0.1,0
01/09/2010,0.1,0.1,0
01/10/1988,0.1,0.1,0
01/10/1989,0.1,0.1,0
01/10/2000,0.1,0.1,0
01/10/2006,0.1,0.1,0
01/10/2019,0.1,0.1,0
01/11/2001,0.1,0.1,0
01/11/2002,0.1,0.1,0
01/11/2008,0.1,0,0.3
01/11/2010,0.1,0.1,0
01/11/2011,0.1,0.1,0
01/11/2012,0.1,0.1,0
01/12/1985,0.1,0.1,0
01/12/2003,0.1,0.1,0
01/12/2007,0.1,0.1,0
01/12/2008,0.1,0.1,0
01/12/2009,0.1,0,0
01/12/2011,0.1,0.1,0
How many people live in your household (including the interviewee) in Libya?,"","",""
Average,2.81781140861467,3.00575539568345,1.85714285714286
How old are you?,"","",""
Average,33.1554132712456,33.3906474820144,31.9675324675325
"For enumerator:
What is the sex of the respondent?","","",""
Male,92.2,91.7,95.8
Female,7.8,8.3,4.2
Infants 0-5years: (male),"","",""
Average,0.0983701979045402,0.118705035971223,0.00649350649350649
Children 6-14 years: (male),"","",""
Average,0.136204889406286,0.157553956834532,0.0324675324675325
Youth 15-17 years: (male),"","",""
Average,0.0983701979045402,0.105755395683453,0.0616883116883117
Adults 18-64: (male),"","",""
Average,1.82596041909197,1.89424460431655,1.48051948051948
Elderly 65+ years: (male),"","",""
Average,0.0157159487776484,0.0172661870503597,0.00974025974025974
nb_male,"","",""
Average,2.17403958090803,2.29280575539568,1.59090909090909
under18_male,"","",""
Average,0.332945285215367,0.382014388489209,0.100649350649351
over18_male,"","",""
Average,1.84109429569267,1.91079136690647,1.49025974025974
school_aged_boys,"","",""
Average,0.234575087310827,0.263309352517986,0.0941558441558442
Infants 0-5years: (female),"","",""
Average,0.0849825378346915,0.102158273381295,0
Children 6-14 years: (female),"","",""
Average,0.10128055878929,0.117985611510791,0.0162337662337662
Youth 15-17 years: (female),"","",""
Average,0.0535506402793946,0.0510791366906475,0.0584415584415584
Adults 18-64: (female),"","",""
Average,0.387660069848661,0.43021582733813,0.159090909090909
Elderly 65+ years: (female),"","",""
Average,0.0122235157159488,0.0115107913669065,0.00974025974025974
nb_female,"","",""
Average,0.639697322467986,0.71294964028777,0.243506493506494
under18_female,"","",""
Average,0.239813736903376,0.271223021582734,0.0746753246753247
over18_female,"","",""
Average,0.39988358556461,0.441726618705036,0.168831168831169
school_aged_girls,"","",""
Average,0.154831199068685,0.169064748201439,0.0746753246753247
nb_ind_hh,"","",""
Average,2.81373690337602,3.00575539568345,1.83441558441558
nb_under18,"","",""
Average,0.572759022118743,0.653237410071942,0.175324675324675
nb_over18,"","",""
Average,2.24097788125728,2.35251798561151,1.65909090909091
Are you currently pregnant?,"","",""
No,89.6,90.4,76.9
Yes,9,7.8,23.1
Don't know,1.5,1.7,0
male,"","",""
Average,0.174621653084983,0.153237410071942,0.25
female,"","",""
Average,0.0983701979045402,0.0913669064748201,0.12987012987013
"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)","","",""
Average,5.76775320139697,5.71942446043165,6.00974025974026
"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)","","",""
Average,3.44179278230501,3.31223021582734,4.0487012987013
"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)","","",""
Average,4.09487776484284,3.93525179856115,4.87012987012987
"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)","","",""
Average,3.37543655413271,3.23525179856115,4.01298701298701
"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)","","",""
Average,5.41909196740396,5.33884892086331,5.83766233766234
"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)","","",""
Average,2.04132712456345,1.82661870503597,2.9512987012987
"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)","","",""
Average,5.16181606519208,5.02661870503597,5.83116883116883
"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)","","",""
Average,4.63504074505239,4.48129496402878,5.37662337662338
"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)","","",""
Average,5.07043073341094,4.91798561151079,5.80844155844156
What are the top three sources from which you typically acquire food?,"","",""
Own production,4,3,6
"Received as food aid through government, UN, NGOs, civil society, etc.",2,2,4
Received as gift from friends or relatives,13,13,13
Market (purchased with cash) ,96,96,95
Market (purchased on credit),14,14,10
Market (purchased with cheque),1,1,2
Work or barter for food,6,5,10
"Gathering, hunting, or fishing",1,1,1
"Borrowing food from relatives, hosts, or external parties",4,4,4
Zakat,3,3,5
Other (please specify),1,1,2
Don't know,0,0,0
Prefer not to answer,0,0,0
"1. Rely on less preferred, less expensive food?","","",""
Average,2.48428405122235,2.50791366906475,2.32142857142857
2. Borrow food or rely on help from friends or relatives?,"","",""
Average,0.546565774155995,0.494244604316547,0.701298701298701
3. Reduce the number of meals eaten per day?,"","",""
Average,1.4743888242142,1.47841726618705,1.39285714285714
4. Reduce the size of portions or meals?,"","",""
Average,1.5337601862631,1.55755395683453,1.35714285714286
5. Reduce the quantity consumed by adults so children could eat?,"","",""
Average,0.40454016298021,0.432374100719424,0.220779220779221
"Have you engaged in agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or food consumption during the past year?","","",""
No,87,89,82
"Yes, crop production",8,7,11
"Yes, livestock production",7,6,6
"Yes, fishing/fisheries",0,0,0
Other (please specify),1,1,2
Don't know,0,0,0
Prefer not to answer,0,0,0
What type of shelter do you live in?,"","",""
House,40.9,44.6,22.4
Apartment (including one-room apartments),23.2,23.2,23.7
Unfinished room(s),22.1,19.3,35.4
"Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",7.9,8.1,7.5
Connection house,2.8,1.7,8.1
"Public building not usually used for shelter (school, mosque, etc.)",1.2,1.4,0.6
Camp or informal settlement for displaced persons,1.2,1.4,0.3
Prefer not to answer,0.2,0.1,0.6
Temporary shelter provided by INGO or local NGO,0.2,0.1,0.3
Other (please specify),0.1,0.1,0
Outdoors (no shelter at all),0.1,0.1,0.3
Tent or caravan,0.1,0.1,0.3
Hotel,0.1,0,0.3
How many rooms are in your shelter?,"","",""
Average,2.15540540540541,2.25289256198347,1.68127490039841
How would you describe your occupancy status?,"","",""
Rental (with verbal agreement),63.2,67.7,43
Housing provided by employer,22.4,17.5,44.6
Rental (with written contract),5.2,5.1,5.2
Being hosted for free (not including by employer),4.3,4.1,4.9
Housing provided by public authority,2.3,2.4,1.6
Ownership ,1.2,1.4,0.3
Housing provided by smuggler,1,1.2,0
Squatting (without consent of owner),0.2,0.2,0
Living in the streets or public space,0.1,0.1,0.3
Don't know,0.1,0.1,0
Prefer not to answer,0.1,0.1,0
Other (please specify),0.1,0.1,0
How much does your rental property cost per month (in LYD)?,"","",""
Average,349.286995515695,362.168925964546,262.867132867133
Has the rent increased or decreased since the beginning of 2019?,"","",""
No change,74.4,74.3,77
Increased,20.9,20.7,19.6
Decreased,2.6,2.9,0.7
Don't know,2.1,2.1,2
Prefer not to answer,0.1,0,0.7
Who is hosting you for free?,"","",""
Libyan friend,50,45.6,73.3
Migrant friend,37.8,43.9,13.3
Family member,8.1,5.3,13.3
Other (please specify),4.1,5.3,0
What are your main shelter-related concerns?,"","",""
no shelter related concerns,51,48,64
There is no shelter,4,5,2
Shelters are overcrowded,17,18,13
Homes are so damaged that they are uninhabitable,5,5,6
Unexploded remnants of war and landmines,0,0,0
Building materials to repair shelters are unavailable,2,2,1
Building services/skills are unavailable,2,2,2
Lack of access to basic utilities,6,6,2
Partial access to basic utilities,8,9,2
Lack of basic household items,12,14,5
Lack of privacy,12,12,9
"Lack of gender-sensitive WASH facilities (bathing, washing, toilet, etc)",4,4,2
Insecurity or conflict,8,8,6
Other (please specify),0,1,0
Don't know,0,0,1
Prefer not to answer,0,0,1
How would you describe the overall condition of your shelter? Please refer to the reference pictures below.,"","",""
No damage / negligible damage,51.2,49,60.1
"Light damage (repairs needed, but shelter is livable)",37.5,39,31.4
Medium damage,10.3,10.9,7.5
Heavy damage (shelter is not livable without repairs),0.9,0.9,1
Destroyed (shelter needs to be reconstructed),0.2,0.1,0
Who do you live with?,"","",""
I live alone,10,1,51
I live with family,25,30,2
I live with Libyan friends,1,1,2
I live with migrant friends,47,50,31
I live with colleagues,14,16,8
I live with my employer,2,2,3
I live with my landlord,0,0,0
I live with other refugees/migrants that I did not previously know,9,10,5
I live with Libyans that I did not previously know,0,0,0
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,1
How many people do you share your accommodation with?,"","",""
Average,5.04826254826255,5.13260869565217,4.30967741935484
Is your cooking space separated from the rest of your living space?,"","",""
Yes,56.8,57.5,53.7
No,42.8,42,45.9
Don't know,0.2,0.3,0
Prefer not to answer,0.2,0.2,0.3
What is the total area (m²) of your accommodation (excluding the cooking space and bathing/toilet facilities if they are separate)?,"","",""
Average,54.1928904428904,57.8812095032397,37.9381107491857
What are the biggest challenges you face in accessing shelter?,"","",""
Do not face any challenges ,43,39,60
Do not have the appropriate documents ,16,17,12
Do not have enough money ,24,25,20
Discrimatory treatment/Landlords do not trust me ,6,6,4
Do not have the right contacts to find a place ,4,4,3
Fear of being overcharged ,26,29,12
Lack of information about finding shelter,8,8,4
Lack of freedom of movement,8,8,8
Tensions with host community,8,8,6
"Safety and security concerns (threat, danger, etc)",8,8,4
Other (please specify),0,1,0
Don't know,0,0,0
Prefer not to answer,0,0,0
Have you experienced eviction or the threat of eviction within the past 6 months?,"","",""
No,89.6,89.6,89.6
"Yes, have been threatened with eviction",6.6,6.7,6.8
"Yes, have been recently evicted",2.5,2.5,2.3
Don't know,0.7,0.7,0.7
Prefer not to answer,0.5,0.4,0.7
Why do you think you were evicted / threatened with eviction?,"","",""
"Forced eviction, i.e. from armed group pressure or land-grabbing",14,11,25
Land acquisitions,2,2,0
Clearance of camp/public space by authorities,8,9,4
Discrimination based on ethnicity/tribe,10,8,18
Cannot afford rent,37,39,25
No documentation to prove legal ownership,18,17,21
Punitive or retaliatory actions,0,0,0
Authorities requested that you leave ,2,2,0
Host family no longer able to host our family,4,5,0
Request to vacate from owner of buidling/land,25,26,25
Lack of rental contract ,2,2,4
Lack of required documents,6,7,4
Other (please specify),2,2,0
Don't know,1,1,4
Prefer not to answer,0,0,0
1. Mattresses,"","",""
I own this but need another / more,51.3,50.1,55.8
I own enough of this and do not need more,41.7,43.3,36.4
I do not own this object,6.8,6.3,7.8
Don't know,0.1,0.1,0
Prefer not to answer,0.1,0.1,0
2. Blankets,"","",""
