data,Libya,no,yes
01/03/2016,1.2,1.2,1
01/07/2016,1.2,1,1.2
01/01/2016,1.1,0.9,1.2
01/09/2018,1.1,1.2,1
01/09/2016,1,1.2,0.8
01/12/2017,1,1.3,0.7
01/12/2016,0.9,1.1,0.6
01/02/2015,0.8,0.9,0.7
01/02/2016,0.8,0.9,0.6
01/04/2015,0.8,0.7,0.7
01/11/2017,0.8,1,0.4
01/04/2014,0.7,0.9,0.4
01/07/2014,0.7,0.8,0.6
01/01/2017,0.6,0.3,1.1
01/03/2015,0.6,0.9,0.3
01/08/2015,0.6,0.6,0.7
01/11/2016,0.6,0.9,0.3
01/02/2014,0.6,0.7,0.4
01/05/2014,0.6,0.6,0.6
01/06/2013,0.6,0.6,0.6
01/06/2019,0.6,0.3,0.7
01/01/2005,0.5,0.3,0.8
01/08/2013,0.5,0.7,0.3
01/08/2014,0.5,0.7,0.3
01/09/2015,0.5,0.5,0.4
01/01/2008,0.5,0.6,0.3
01/04/2012,0.5,0.3,0.7
01/05/2012,0.5,0.4,0.6
01/10/2015,0.5,0.6,0.3
01/07/2012,0.4,0.4,0.4
01/08/2012,0.4,0.6,0.1
01/10/2014,0.4,0.5,0.3
01/12/2014,0.4,0.4,0.3
01/01/2009,0.3,0.2,0.6
01/02/2009,0.3,0.4,0.3
01/05/2013,0.3,0.5,0
01/09/2012,0.3,0.4,0.3
01/12/2013,0.3,0.3,0.3
01/02/2013,0.3,0.2,0.4
01/03/2012,0.3,0.4,0.1
01/03/2013,0.3,0.3,0.3
01/06/2012,0.3,0.4,0.1
01/06/2014,0.3,0.3,0.3
01/06/2015,0.3,0.3,0.1
01/07/2013,0.3,0.1,0.6
01/08/2007,0.3,0.4,0.1
01/10/2012,0.3,0.3,0.3
01/11/2013,0.3,0.2,0.3
01/11/2015,0.3,0.3,0.3
01/01/2001,0.2,0.2,0.3
01/01/2006,0.2,0,0.6
01/01/2007,0.2,0.1,0.4
01/03/2014,0.2,0.1,0.4
01/04/2013,0.2,0.4,0
01/07/2019,0.2,0.1,0.4
01/08/2000,0.2,0.1,0.4
01/08/2006,0.2,0.1,0.4
01/01/1999,0.2,0.1,0.3
01/01/2010,0.2,0.2,0.1
01/02/2007,0.2,0.3,0
01/06/2009,0.2,0.3,0
01/08/2008,0.2,0.1,0.3
01/08/2009,0.2,0.2,0.1
01/09/1991,0.2,0.1,0.3
01/09/2013,0.2,0,0.4
01/10/2013,0.2,0.3,0
01/11/2012,0.2,0.2,0.1
01/12/2011,0.2,0.2,0.1
01/12/2015,0.2,0.3,0
01/01/1989,0.1,0.1,0.1
01/01/1998,0.1,0.2,0
01/01/2012,0.1,0.1,0.1
01/02/1992,0.1,0,0.3
01/02/2012,0.1,0.2,0
01/03/1988,0.1,0,0.1
01/03/2005,0.1,0,0.3
01/05/2001,0.1,0.1,0.1
01/05/2010,0.1,0.2,0
01/06/1997,0.1,0,0.3
01/06/2011,0.1,0.1,0.1
01/07/2008,0.1,0.1,0.1
01/09/2009,0.1,0.2,0
01/12/2012,0.1,0.1,0.1
01/01/1955,0.1,0.1,0
01/01/1970,0.1,0,0.1
01/01/1981,0.1,0,0.1
01/01/1985,0.1,0,0.1
01/01/1988,0.1,0,0.1
01/01/1992,0.1,0,0.1
01/01/2000,0.1,0,0.1
01/01/2003,0.1,0,0.1
01/01/2004,0.1,0.1,0
01/01/2011,0.1,0.1,0
01/02/1989,0.1,0,0.1
01/02/1993,0.1,0.1,0
01/02/2002,0.1,0,0.1
01/02/2008,0.1,0.1,0
01/02/2010,0.1,0.1,0
01/03/1989,0.1,0,0.1
01/03/2003,0.1,0,0.1
01/03/2009,0.1,0,0.1
01/03/2010,0.1,0.1,0
01/04/1969,0.1,0,0.1
01/04/1981,0.1,0,0.1
01/04/1991,0.1,0,0.1
01/04/1994,0.1,0,0.1
01/04/1995,0.1,0.1,0
01/04/2005,0.1,0.1,0
01/04/2006,0.1,0.1,0
01/04/2008,0.1,0,0.1
01/04/2010,0.1,0.1,0
01/04/2011,0.1,0.1,0
01/05/1982,0.1,0,0.1
01/05/1988,0.1,0,0.1
01/05/1994,0.1,0.1,0
01/05/1998,0.1,0,0.1
01/05/2003,0.1,0,0.1
01/05/2005,0.1,0,0.1
01/05/2006,0.1,0.1,0
01/05/2009,0.1,0.1,0
01/06/1972,0.1,0.1,0
01/06/1989,0.1,0,0.1
01/06/1998,0.1,0,0.1
01/06/1999,0.1,0,0.1
01/06/2004,0.1,0,0.1
01/06/2005,0.1,0,0.1
01/06/2008,0.1,0.1,0
01/06/2010,0.1,0,0.1
01/07/1987,0.1,0,0.1
01/07/1989,0.1,0,0.1
01/07/1991,0.1,0,0.1
01/07/1993,0.1,0,0.1
01/07/1995,0.1,0,0.1
01/07/1998,0.1,0.1,0
01/07/2002,0.1,0,0.1
01/07/2003,0.1,0.1,0
01/07/2005,0.1,0.1,0
01/07/2006,0.1,0,0.1
01/07/2007,0.1,0,0
01/07/2010,0.1,0,0.1
01/07/2011,0.1,0.1,0
01/08/1982,0.1,0,0.1
01/08/1990,0.1,0,0.1
01/08/1997,0.1,0.1,0
01/08/1999,0.1,0,0.1
01/08/2002,0.1,0.1,0
01/08/2004,0.1,0.1,0
01/08/2005,0.1,0,0.1
01/08/2010,0.1,0.1,0
01/08/2011,0.1,0,0.1
01/09/1971,0.1,0,0.1
01/09/1975,0.1,0,0.1
01/09/1979,0.1,0,0.1
01/09/1980,0.1,0.1,0
01/09/1981,0.1,0,0.1
01/09/1985,0.1,0,0.1
01/09/1996,0.1,0.1,0
01/09/2002,0.1,0,0.1
01/09/2003,0.1,0.1,0
01/09/2006,0.1,0,0.1
01/09/2008,0.1,0,0.1
01/09/2010,0.1,0.1,0
01/10/1988,0.1,0,0.1
01/10/2000,0.1,0.1,0
01/10/2002,0.1,0,0.1
01/10/2007,0.1,0,0.1
01/10/2009,0.1,0.1,0
01/10/2010,0.1,0,0.1
01/10/2011,0.1,0,0.1
01/11/1990,0.1,0,0.1
01/11/2002,0.1,0.1,0
01/11/2003,0.1,0,0.1
01/11/2010,0.1,0.1,0
01/11/2011,0.1,0,0.1
01/11/2014,0.1,0,0.1
01/12/1985,0.1,0.1,0
01/12/2003,0.1,0.1,0
01/12/2005,0.1,0,0.1
01/12/2007,0.1,0.1,0
time_of_arrival,"","",""
over_a_year,81.8,81.5,81.8
within_a_year,18.2,18.5,18.2
When did you arrive in the current baladiya?,"","",""
01/02/2019,3.6,3.9,3.2
01/01/2019,3.4,3,4.1
01/03/2019,3.2,2.8,3.9
01/01/2018,3,2.7,3.6
01/04/2018,2.4,2.1,2.9
01/05/2017,2.4,1.5,3.6
01/07/2017,2.4,2,2.8
01/08/2017,2.4,2.5,2.1
01/04/2019,2.3,2,2.8
01/08/2018,2.3,2.7,1.8
01/06/2018,2.2,2.2,2.3
01/03/2018,2.2,2.2,2.2
01/12/2018,2.2,2.5,1.8
01/01/2017,2.1,1.9,2.5
01/05/2018,2.1,1.8,2.3
01/10/2017,2,2.1,2.1
01/09/2017,1.9,2.2,1.4
01/06/2017,1.9,2,1.7
01/11/2018,1.8,1.6,2.1
01/03/2017,1.7,1.8,1.7
01/04/2017,1.7,1.9,1.7
01/07/2018,1.7,1.9,1.5
01/09/2018,1.7,1.3,2.2
01/11/2017,1.6,1.9,1.4
01/04/2016,1.6,1.9,1.1
01/07/2016,1.5,1.5,1.4
01/05/2019,1.4,0.8,2.2
01/10/2018,1.4,1.3,1.5
01/02/2018,1.3,1.4,1.2
01/08/2016,1.3,1.3,1.1
01/11/2016,1.3,1.5,1
01/12/2017,1.3,1.5,1.1
01/06/2019,1.3,0.6,2.2
01/01/2016,1.2,1,1.5
01/02/2017,1.2,1.2,1.1
01/05/2016,1.2,1.8,0.4
01/08/2015,1.1,1.5,0.6
01/10/2016,1,1.2,0.7
01/12/2016,1,1.1,0.8
01/07/2015,0.9,0.5,1.4
01/09/2016,0.9,1.1,0.6
01/01/2015,0.8,1,0.6
01/04/2015,0.8,0.9,0.7
01/07/2019,0.8,0.5,0.8
01/03/2016,0.7,0.9,0.4
01/06/2016,0.7,0.9,0.4
01/10/2015,0.7,0.6,0.7
01/12/2015,0.6,0.6,0.6
01/05/2015,0.6,0.6,0.6
01/09/2015,0.6,0.6,0.6
01/03/2015,0.5,0.3,0.8
01/04/2014,0.5,0.7,0.3
01/11/2015,0.5,0.6,0.4
01/02/2016,0.5,0.7,0.1
01/01/2013,0.4,0.2,0.7
01/01/2014,0.4,0.4,0.4
01/05/2014,0.4,0.5,0.3
01/06/2013,0.4,0.6,0.1
01/05/2013,0.3,0.5,0
01/06/2014,0.3,0.4,0.3
01/08/2013,0.3,0.6,0
01/12/2014,0.3,0.3,0.3
01/02/2015,0.3,0.3,0.3
01/04/2012,0.3,0.2,0.4
01/05/2012,0.3,0.3,0.3
01/06/2015,0.3,0.4,0.1
01/07/2012,0.3,0.4,0.1
01/09/2014,0.3,0.5,0
01/10/2012,0.3,0.5,0
01/12/2013,0.3,0.3,0.3
01/01/2008,0.2,0.1,0.4
01/02/2013,0.2,0.2,0.3
01/02/2014,0.2,0.3,0.1
01/04/2013,0.2,0.4,0
01/07/2014,0.2,0.2,0.3
01/08/2009,0.2,0.3,0.1
01/08/2014,0.2,0.4,0
01/09/2013,0.2,0.2,0.3
01/10/2013,0.2,0.3,0.1
01/10/2014,0.2,0.4,0
01/12/2012,0.2,0.2,0.3
01/01/2001,0.2,0.2,0.1
01/02/2007,0.2,0.3,0
01/03/2012,0.2,0.2,0.1
01/03/2013,0.2,0.3,0
01/03/2014,0.2,0.2,0.1
01/08/2010,0.2,0.2,0.1
01/08/2019,0.2,0.1,0.3
01/01/2005,0.1,0,0.3
01/03/1988,0.1,0,0.1
01/03/2010,0.1,0.2,0
01/04/2010,0.1,0.2,0
01/05/2005,0.1,0.1,0.1
01/05/2007,0.1,0,0.3
01/06/2009,0.1,0.2,0
01/07/2013,0.1,0.1,0.1
01/08/2006,0.1,0.1,0.1
01/08/2008,0.1,0,0.3
01/08/2012,0.1,0.2,0
01/09/2008,0.1,0,0.3
01/09/2009,0.1,0.1,0.1
01/09/2012,0.1,0.2,0
01/10/2007,0.1,0.1,0.1
01/10/2009,0.1,0.2,0
01/11/2013,0.1,0.1,0.1
01/11/2014,0.1,0.1,0.1
01/01/1970,0.1,0,0.1
01/01/1988,0.1,0,0.1
01/01/1989,0.1,0,0.1
01/01/1990,0.1,0.1,0
01/01/1992,0.1,0,0.1
01/01/1998,0.1,0.1,0
01/01/1999,0.1,0,0.1
01/01/2003,0.1,0,0.1
01/01/2007,0.1,0,0.1
01/01/2009,0.1,0.1,0
01/01/2011,0.1,0.1,0
01/01/2012,0.1,0,0.1
01/02/1989,0.1,0,0.1
01/02/1992,0.1,0,0.1
01/02/1993,0.1,0.1,0
01/02/2005,0.1,0,0.1
01/02/2008,0.1,0.1,0
01/02/2009,0.1,0.1,0
01/02/2010,0.1,0.1,0
01/03/1989,0.1,0,0.1
01/03/2009,0.1,0,0.1
01/04/1969,0.1,0,0.1
01/04/1995,0.1,0.1,0
01/04/2002,0.1,0,0.1
01/04/2004,0.1,0.1,0
01/04/2005,0.1,0.1,0
01/04/2009,0.1,0.1,0
01/05/1982,0.1,0,0.1
01/05/1988,0.1,0,0.1
01/05/1993,0.1,0.1,0
01/05/1994,0.1,0,0.1
01/05/1998,0.1,0,0.1
01/05/2001,0.1,0.1,0
01/05/2009,0.1,0,0.1
01/06/1972,0.1,0.1,0
01/06/1989,0.1,0,0.1
01/06/1998,0.1,0,0.1
01/06/2003,0.1,0.1,0
01/06/2005,0.1,0,0.1
01/06/2008,0.1,0.1,0
01/06/2011,0.1,0.1,0
01/06/2012,0.1,0.1,0
01/07/1987,0.1,0,0.1
01/07/1989,0.1,0,0.1
01/07/1993,0.1,0,0.1
01/07/1997,0.1,0,0.1
01/07/1998,0.1,0,0.1
01/07/1999,0.1,0,0.1
01/07/2000,0.1,0,0.1
01/07/2001,0.1,0,0.1
01/07/2003,0.1,0.1,0
01/07/2005,0.1,0.1,0
01/07/2006,0.1,0,0.1
01/07/2008,0.1,0.1,0
01/07/2009,0.1,0.1,0
01/07/2011,0.1,0,0.1
01/08/1982,0.1,0,0.1
01/08/1997,0.1,0.1,0
01/08/2000,0.1,0,0.1
01/08/2001,0.1,0,0.1
01/08/2007,0.1,0.1,0
01/08/2011,0.1,0,0.1
01/09/1971,0.1,0,0.1
01/09/1975,0.1,0,0.1
01/09/1979,0.1,0,0.1
01/09/1980,0.1,0.1,0
01/09/1985,0.1,0,0.1
01/09/1991,0.1,0,0.1
01/09/1992,0.1,0,0.1
01/09/1993,0.1,0,0.1
01/09/1994,0.1,0.1,0
01/09/1996,0.1,0.1,0
01/09/2002,0.1,0.1,0
01/09/2006,0.1,0,0.1
01/09/2007,0.1,0.1,0
01/09/2010,0.1,0.1,0
01/10/1988,0.1,0,0.1
01/10/1989,0.1,0,0.1
01/10/2000,0.1,0.1,0
01/10/2006,0.1,0,0.1
01/10/2019,0.1,0.1,0
01/11/2001,0.1,0,0.1
01/11/2002,0.1,0.1,0
01/11/2008,0.1,0,0.1
01/11/2010,0.1,0.1,0
01/11/2011,0.1,0,0.1
01/11/2012,0.1,0.1,0
01/12/1985,0.1,0.1,0
01/12/2003,0.1,0.1,0
01/12/2007,0.1,0.1,0
01/12/2008,0.1,0,0.1
01/12/2009,0.1,0,0.1
01/12/2011,0.1,0,0.1
How many people live in your household (including the interviewee) in Libya?,"","",""
Average,2.81781140861467,2.75257731958763,2.85399449035813
How old are you?,"","",""
Average,33.1554132712456,32.8948453608247,33.538567493113
"For enumerator:
What is the sex of the respondent?","","",""
Male,92.2,95.6,87.7
Female,7.8,4.4,12.3
Infants 0-5years: (male),"","",""
Average,0.0983701979045402,0.0845360824742268,0.118457300275482
Children 6-14 years: (male),"","",""
Average,0.136204889406286,0.117525773195876,0.161157024793388
Youth 15-17 years: (male),"","",""
Average,0.0983701979045402,0.114432989690722,0.0785123966942149
Adults 18-64: (male),"","",""
Average,1.82596041909197,1.91443298969072,1.65702479338843
Elderly 65+ years: (male),"","",""
Average,0.0157159487776484,0.0154639175257732,0.012396694214876
nb_male,"","",""
Average,2.17403958090803,2.24536082474227,2.02754820936639
under18_male,"","",""
Average,0.332945285215367,0.316494845360825,0.358126721763085
over18_male,"","",""
Average,1.84109429569267,1.92886597938144,1.66942148760331
school_aged_boys,"","",""
Average,0.234575087310827,0.231958762886598,0.239669421487603
Infants 0-5years: (female),"","",""
Average,0.0849825378346915,0.0536082474226804,0.129476584022039
Children 6-14 years: (female),"","",""
Average,0.10128055878929,0.0793814432989691,0.133608815426997
Youth 15-17 years: (female),"","",""
Average,0.0535506402793946,0.0432989690721649,0.0647382920110193
Adults 18-64: (female),"","",""
Average,0.387660069848661,0.314432989690722,0.484848484848485
Elderly 65+ years: (female),"","",""
Average,0.0122235157159488,0.00927835051546392,0.0137741046831956
nb_female,"","",""
Average,0.639697322467986,0.5,0.826446280991736
under18_female,"","",""
Average,0.239813736903376,0.176288659793814,0.327823691460055
over18_female,"","",""
Average,0.39988358556461,0.323711340206186,0.49862258953168
school_aged_girls,"","",""
Average,0.154831199068685,0.122680412371134,0.198347107438017
nb_ind_hh,"","",""
Average,2.81373690337602,2.74536082474227,2.85399449035813
nb_under18,"","",""
Average,0.572759022118743,0.492783505154639,0.685950413223141
nb_over18,"","",""
Average,2.24097788125728,2.25257731958763,2.16804407713499
Are you currently pregnant?,"","",""
No,89.6,95.3,87.6
Yes,9,4.7,11.2
Don't know,1.5,0,1.1
male,"","",""
Average,0.174621653084983,0.157731958762887,0.151515151515152
female,"","",""
Average,0.0983701979045402,0.0865979381443299,0.117079889807163
"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)","","",""
Average,5.76775320139697,5.97731958762887,5.48484848484848
"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)","","",""
Average,3.44179278230501,3.81134020618557,2.95730027548209
"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)","","",""
Average,4.09487776484284,4.44639175257732,3.62396694214876
"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)","","",""
Average,3.37543655413271,3.91030927835052,2.66528925619835
"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)","","",""
Average,5.41909196740396,5.6020618556701,5.1900826446281
"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)","","",""
Average,2.04132712456345,2.42371134020619,1.53856749311295
"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)","","",""
Average,5.16181606519208,5.24020618556701,5.0702479338843
"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)","","",""
Average,4.63504074505239,4.85773195876289,4.34710743801653
"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)","","",""
Average,5.07043073341094,5.13917525773196,4.99035812672176
What are the top three sources from which you typically acquire food?,"","",""
Own production,4,3,4
"Received as food aid through government, UN, NGOs, civil society, etc.",2,1,4
Received as gift from friends or relatives,13,12,13
Market (purchased with cash) ,96,97,95
Market (purchased on credit),14,12,16
Market (purchased with cheque),1,0,1
Work or barter for food,6,5,6
"Gathering, hunting, or fishing",1,1,1
"Borrowing food from relatives, hosts, or external parties",4,3,5
Zakat,3,2,6
Other (please specify),1,2,1
Don't know,0,0,0
Prefer not to answer,0,0,0
"1. Rely on less preferred, less expensive food?","","",""
Average,2.48428405122235,1.80309278350515,3.38567493112948
2. Borrow food or rely on help from friends or relatives?,"","",""
Average,0.546565774155995,0.430927835051546,0.701101928374656
3. Reduce the number of meals eaten per day?,"","",""
Average,1.4743888242142,1.13092783505155,1.92837465564738
4. Reduce the size of portions or meals?,"","",""
Average,1.5337601862631,1.16907216494845,2.01652892561983
5. Reduce the quantity consumed by adults so children could eat?,"","",""
Average,0.40454016298021,0.210309278350515,0.640495867768595
"Have you engaged in agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or food consumption during the past year?","","",""
No,87,86,89
"Yes, crop production",8,8,8
"Yes, livestock production",7,7,6
"Yes, fishing/fisheries",0,0,0
Other (please specify),1,1,1
Don't know,0,0,0
Prefer not to answer,0,0,0
What type of shelter do you live in?,"","",""
House,40.9,44.1,36.9
Apartment (including one-room apartments),23.2,21.2,25.9
Unfinished room(s),22.1,18.9,26
"Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",7.9,8.7,6.7
Connection house,2.8,4.1,1
"Public building not usually used for shelter (school, mosque, etc.)",1.2,0.8,1.8
Camp or informal settlement for displaced persons,1.2,1.2,1.1
Prefer not to answer,0.2,0.1,0.3
Temporary shelter provided by INGO or local NGO,0.2,0.3,0
Other (please specify),0.1,0.2,0
Outdoors (no shelter at all),0.1,0.1,0.1
Tent or caravan,0.1,0.1,0.1
Hotel,0.1,0.1,0
How many rooms are in your shelter?,"","",""
Average,2.15540540540541,2.14914425427873,2.18195956454121
How would you describe your occupancy status?,"","",""
Rental (with verbal agreement),63.2,57.4,70.8
Housing provided by employer,22.4,27.1,16.3
Rental (with written contract),5.2,7.1,2.5
Being hosted for free (not including by employer),4.3,3.7,5.2
Housing provided by public authority,2.3,2.2,2.5
Ownership ,1.2,1.3,1.1
Housing provided by smuggler,1,1,0.7
Squatting (without consent of owner),0.2,0.1,0.3
Living in the streets or public space,0.1,0,0.3
Don't know,0.1,0,0.1
Prefer not to answer,0.1,0,0.1
Other (please specify),0.1,0,0.1
How much does your rental property cost per month (in LYD)?,"","",""
Average,349.286995515695,340.495652173913,361.173664122137
Has the rent increased or decreased since the beginning of 2019?,"","",""
No change,74.4,75,73.5
Increased,20.9,20.5,21.6
Decreased,2.6,3.2,1.7
Don't know,2.1,1.1,3.2
Prefer not to answer,0.1,0.2,0
Who is hosting you for free?,"","",""
Libyan friend,50,72.2,28.9
Migrant friend,37.8,19.4,55.3
Family member,8.1,8.3,7.9
Other (please specify),4.1,0,7.9
What are your main shelter-related concerns?,"","",""
no shelter related concerns,51,65,33
There is no shelter,4,3,6
Shelters are overcrowded,17,14,22
Homes are so damaged that they are uninhabitable,5,2,9
Unexploded remnants of war and landmines,0,0,0
Building materials to repair shelters are unavailable,2,2,3
Building services/skills are unavailable,2,2,1
Lack of access to basic utilities,6,2,10
Partial access to basic utilities,8,4,14
Lack of basic household items,12,6,21
Lack of privacy,12,8,16
"Lack of gender-sensitive WASH facilities (bathing, washing, toilet, etc)",4,3,5
Insecurity or conflict,8,7,9
Other (please specify),0,0,1
Don't know,0,0,0
Prefer not to answer,0,0,0
How would you describe the overall condition of your shelter? Please refer to the reference pictures below.,"","",""
No damage / negligible damage,51.2,62.2,36
"Light damage (repairs needed, but shelter is livable)",37.5,29.7,48.3
Medium damage,10.3,7.5,14.1
Heavy damage (shelter is not livable without repairs),0.9,0.4,1.7
Destroyed (shelter needs to be reconstructed),0.2,0.1,0
Who do you live with?,"","",""
I live alone,10,13,6
I live with family,25,21,30
I live with Libyan friends,1,1,1
I live with migrant friends,47,46,47
I live with colleagues,14,15,13
I live with my employer,2,2,2
I live with my landlord,0,0,1
I live with other refugees/migrants that I did not previously know,9,9,10
I live with Libyans that I did not previously know,0,0,0
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,0
How many people do you share your accommodation with?,"","",""
Average,5.04826254826255,3.74677608440797,6.69897209985316
Is your cooking space separated from the rest of your living space?,"","",""
Yes,56.8,62.8,48.4
No,42.8,36.8,51
Don't know,0.2,0.3,0.1
Prefer not to answer,0.2,0,0.4
What is the total area (m²) of your accommodation (excluding the cooking space and bathing/toilet facilities if they are separate)?,"","",""
Average,54.1928904428904,53.6491228070175,55.4951724137931
What are the biggest challenges you face in accessing shelter?,"","",""
Do not face any challenges ,43,57,24
Do not have the appropriate documents ,16,10,24
Do not have enough money ,24,15,36
Discrimatory treatment/Landlords do not trust me ,6,5,6
Do not have the right contacts to find a place ,4,4,4
Fear of being overcharged ,26,20,35
Lack of information about finding shelter,8,7,9
Lack of freedom of movement,8,5,12
Tensions with host community,8,7,9
"Safety and security concerns (threat, danger, etc)",8,6,9
Other (please specify),0,0,1
Don't know,0,0,1
Prefer not to answer,0,0,0
Have you experienced eviction or the threat of eviction within the past 6 months?,"","",""
No,89.6,94.7,83
"Yes, have been threatened with eviction",6.6,3.5,11
"Yes, have been recently evicted",2.5,0.9,4.4
Don't know,0.7,0.6,0.7
Prefer not to answer,0.5,0.2,0.8
Why do you think you were evicted / threatened with eviction?,"","",""
"Forced eviction, i.e. from armed group pressure or land-grabbing",14,21,12
Land acquisitions,2,2,2
Clearance of camp/public space by authorities,8,0,11
Discrimination based on ethnicity/tribe,10,9,10
Cannot afford rent,37,28,40
No documentation to prove legal ownership,18,28,14
Punitive or retaliatory actions,0,0,0
Authorities requested that you leave ,2,2,2
Host family no longer able to host our family,4,2,5
Request to vacate from owner of buidling/land,25,28,24
Lack of rental contract ,2,5,1
Lack of required documents,6,14,4
Other (please specify),2,0,2
Don't know,1,0,2
Prefer not to answer,0,0,0
1. Mattresses,"","",""
I own this but need another / more,51.3,43.4,61.6
