repeat.for.variable,research.question,sub.research.question,hypothesis,independent.variable,dependent.variable,hypothesis.type,independent.variable.type,dependent.variable.type
,,,,,unabailable_items_marketplace,direct_reporting,,categorical
,,,,,financial_service_providers,direct_reporting,,categorical
,,,,,way_storing_cash,direct_reporting,,categorical
,,,,,way_sending_money,direct_reporting,,categorical
,,,,,sending_money_charges,direct_reporting,,numerical
,,,,,using_cash_coping_mechanism_reasons,direct_reporting,,categorical
,,,,,primary_drinkingwater_source,direct_reporting,,categorical
,,,,,distance_drinkingwater,direct_reporting,,categorical
,,,,,unsufficient_quantity_water,direct_reporting,,categorical
,,,,,drinkingwater_quality,direct_reporting,,categorical
,,,,,water_treatment,direct_reporting,,categorical
,,,,,access_public_water_network,direct_reporting,,categorical
,,,,,toilet_type,direct_reporting,,categorical
,,,,,distance_toilet,direct_reporting,,categorical
,,,,,trash_disposal,direct_reporting,,categorical
,,,,,distance_trash,direct_reporting,,categorical
,,,,,trash_collection_frequency,direct_reporting,,categorical
,,,,,access_essential_hygiene_items,direct_reporting,,categorical
,,,,,noaccess_essential_hygiene_items_reasons,direct_reporting,,categorical
,,,,,been_ill_15days,direct_reporting,,categorical
,,,,,visited_healthcare,direct_reporting,,categorical
,,,,,access_healthcare_challenges,direct_reporting,,categorical
,,,,,access_healthcare_challenges_reasons,direct_reporting,,categorical
,,,,,nomoney_healthcare_coping,direct_reporting,,categorical
,,,,,means_transportation_healthcare,direct_reporting,,categorical
,,,,,travel_to_healthcare_provider,direct_reporting,,categorical
,,,,,gave_birth_2years,direct_reporting,,categorical
,,,,,pregnancy_assistedby,direct_reporting,,categorical
,,,,,suffer_chronicdisease,direct_reporting,,categorical
,,,,,type_chronicdisease,direct_reporting,,categorical
,,,,,chronicdisease_access_healthcare,direct_reporting,,categorical
,,,,,chronicdisease_services_unavailable,direct_reporting,,categorical
,,,,,psycho_distress,direct_reporting,,categorical
,,,,,suffer_physical_cognitive_difficulties,direct_reporting,,categorical
,,,,,physical_cognitive_difficulties_category,direct_reporting,,categorical
,,,,,physical_cognitive_difficulties_cause,direct_reporting,,categorical
,,,,,physical_cognitive_access_healthcare,direct_reporting,,categorical
,,,,,physical_cognitive_services_unavailable,direct_reporting,,categorical
,,,,,type_education,direct_reporting,,categorical
,,,,,wishing_child_access_edu,direct_reporting,,categorical
,,,,,issues_faced_attending_school,direct_reporting,,categorical
,,,,,frequency_access_nonformal_school,direct_reporting,,categorical
,,,,,type_formal_edu,direct_reporting,,categorical
,,,,,type_nonformal_edu,direct_reporting,,categorical
,,,,,feeling_danger,direct_reporting,,categorical
,,,,,insecurity_factors,direct_reporting,,categorical
,,,,,protection_coping,direct_reporting,,categorical
,,,,,safety_factors,direct_reporting,,categorical
,,,,,safety_factors_docs,direct_reporting,,categorical
,,,,,witnessed_insecurity_factors_children,direct_reporting,,categorical
,,,,,affected_differently_gender,direct_reporting,,categorical
,,,,,freedom_movement,direct_reporting,,categorical
,,,,,restricted_freedom_movement_reasons,direct_reporting,,categorical
,,,,,restricted_freedom_movement_length,direct_reporting,,categorical
,,,,,presence_explosive_hazards,direct_reporting,,categorical
,,,,,presence_explosive_hazards_actions,direct_reporting,,categorical
,,,,,explosive_hazards_risk_awareness,direct_reporting,,categorical
,,,,,explosive_hazards_risk_awareness_sources,direct_reporting,,categorical
,,,,,explosive_hazards_injured,direct_reporting,,categorical
,,,,,explosive_hazards_injured_assistance,direct_reporting,,categorical
,,,,,explosive_hazards_injured_assistance_source,direct_reporting,,categorical
,,,,,services_needed_access,direct_reporting,,categorical
,,,,,migrant_child_labour,direct_reporting,,categorical
,,,,,migrant_child_labour_nb,direct_reporting,,categorical
,,,,,presence_uasc,direct_reporting,,categorical
,,,,,migration_intention,direct_reporting,,categorical
,,,,,migration_intention_reasons,direct_reporting,,categorical
,,,,,stay_lby_time,direct_reporting,,categorical
,,,,,destination_after_lby,direct_reporting,,categorical
,,,,,priority_assistance_needs,direct_reporting,,categorical
,,,,,received_humanitarian_assistance,direct_reporting,,categorical
,,,,,assistance_received_modality,direct_reporting,,categorical
,,,,,assistance_received_sources,direct_reporting,,categorical
,,,,,assistance_received_satisfaction,direct_reporting,,categorical
,,,,,assistance_received_notsatisfaction_reasons,direct_reporting,,categorical
,,,,,humanitarian_assistance_barriers,direct_reporting,,categorical
,,,,,preferred_modality_assistance,direct_reporting,,categorical
,,,,,inkind_preferred_assistance,direct_reporting,,categorical
,,,,,information_assistance_source,direct_reporting,,categorical
,,,,,preferred_type_info_humanitarian_assistance,direct_reporting,,categorical
,,,,,preferred_source_info,direct_reporting,,categorical
,,,,,preferred_means_receiving_info,direct_reporting,,categorical
,,,,,been_asked_preferred_aid,direct_reporting,,categorical
,,,,,been_asked_aid_received,direct_reporting,,categorical
,,,,,feedback_humanitarian_assistance,direct_reporting,,categorical
,,,,respondent_gender,food_source,group_difference,categorical,categorical
,,,,respondent_gender,shelter_type,group_difference,categorical,categorical
,,,,respondent_gender,occupancy_status,group_difference,categorical,categorical
,,,,respondent_gender,rental_cost,group_difference,categorical,numerical
,,,,respondent_gender,hosted_free_by,group_difference,categorical,categorical
,,,,respondent_gender,shelter_related_concerns,group_difference,categorical,categorical
,,,,respondent_gender,shelter_condition,group_difference,categorical,categorical
,,,,respondent_gender,live_with_who,group_difference,categorical,categorical
,,,,respondent_gender,access_shelter_challenges,group_difference,categorical,categorical
,,,,respondent_gender,eviction_threat,group_difference,categorical,categorical
,,,,respondent_gender,eviction_shelter_reasons,group_difference,categorical,categorical
,,,,respondent_gender,type_jobs,group_difference,categorical,categorical
,,,,respondent_gender,type_institutions,group_difference,categorical,categorical
,,,,respondent_gender,obtaining_cash_challenges,group_difference,categorical,categorical
,,,,respondent_gender,obtaining_cash_challenge_reasons,group_difference,categorical,categorical
,,,,respondent_gender,domestic_consumption_purchase_forwhom,group_difference,categorical,categorical
,,,,respondent_gender,hh_total_debt,group_difference,categorical,numerical
,,,,respondent_gender,debt_primary_reason,group_difference,categorical,categorical
,,,,respondent_gender,send_money_family,group_difference,categorical,numerical
,,,,respondent_gender,save_money,group_difference,categorical,numerical
,,,,respondent_gender,payment_modality,group_difference,categorical,categorical
,,,,respondent_gender,access_marketplace,group_difference,categorical,categorical
,,,,respondent_gender,travel_to_market,group_difference,categorical,categorical
,,,,respondent_gender,barriers_access_market,group_difference,categorical,categorical
,,,,respondent_gender,barriers_purchasing_items,group_difference,categorical,categorical
,,,,respondent_gender,financial_service_providers,group_difference,categorical,categorical
,,,,respondent_gender,way_storing_cash,group_difference,categorical,categorical
,,,,respondent_gender,way_sending_money,group_difference,categorical,categorical
,,,,respondent_gender,using_cash_coping_mechanism_reasons,group_difference,categorical,categorical
,,,,respondent_gender,access_essential_hygiene_items,group_difference,categorical,categorical
,,,,respondent_gender,noaccess_essential_hygiene_items_reasons,group_difference,categorical,categorical
,,,,respondent_gender,been_ill_15days,group_difference,categorical,categorical
,,,,respondent_gender,visited_healthcare,group_difference,categorical,categorical
,,,,respondent_gender,access_healthcare_challenges,group_difference,categorical,categorical
,,,,respondent_gender,access_healthcare_challenges_reasons,group_difference,categorical,categorical
,,,,respondent_gender,nomoney_healthcare_coping,group_difference,categorical,categorical
,,,,respondent_gender,means_transportation_healthcare,group_difference,categorical,categorical
,,,,respondent_gender,travel_to_healthcare_provider,group_difference,categorical,categorical
,,,,respondent_gender,suffer_chronicdisease,group_difference,categorical,categorical
,,,,respondent_gender,type_chronicdisease,group_difference,categorical,categorical
,,,,respondent_gender,chronicdisease_access_healthcare,group_difference,categorical,categorical
,,,,respondent_gender,chronicdisease_services_unavailable,group_difference,categorical,categorical
,,,,respondent_gender,psycho_distress,group_difference,categorical,categorical
,,,,respondent_gender,suffer_physical_cognitive_difficulties,group_difference,categorical,categorical
,,,,respondent_gender,physical_cognitive_difficulties_category,group_difference,categorical,categorical
,,,,respondent_gender,physical_cognitive_difficulties_cause,group_difference,categorical,categorical
,,,,respondent_gender,physical_cognitive_access_healthcare,group_difference,categorical,categorical
,,,,respondent_gender,physical_cognitive_services_unavailable,group_difference,categorical,categorical
,,,,respondent_gender,wishing_child_access_edu,group_difference,categorical,categorical
,,,,respondent_gender,feeling_danger,group_difference,categorical,categorical
,,,,respondent_gender,insecurity_factors,group_difference,categorical,categorical
,,,,respondent_gender,protection_coping,group_difference,categorical,categorical
,,,,respondent_gender,safety_factors,group_difference,categorical,categorical
,,,,respondent_gender,safety_factors_docs,group_difference,categorical,categorical
,,,,respondent_gender,affected_differently_gender,group_difference,categorical,categorical
,,,,respondent_gender,freedom_movement,group_difference,categorical,categorical
,,,,respondent_gender,restricted_freedom_movement_reasons,group_difference,categorical,categorical
,,,,respondent_gender,restricted_freedom_movement_length,group_difference,categorical,categorical
,,,,respondent_gender,presence_explosive_hazards,group_difference,categorical,categorical
,,,,respondent_gender,presence_explosive_hazards_actions,group_difference,categorical,categorical
,,,,respondent_gender,explosive_hazards_risk_awareness,group_difference,categorical,categorical
,,,,respondent_gender,explosive_hazards_risk_awareness_sources,group_difference,categorical,categorical
,,,,respondent_gender,explosive_hazards_injured,group_difference,categorical,categorical
,,,,respondent_gender,explosive_hazards_injured_assistance,group_difference,categorical,categorical
,,,,respondent_gender,explosive_hazards_injured_assistance_source,group_difference,categorical,categorical
,,,,respondent_gender,services_needed_access,group_difference,categorical,categorical
,,,,respondent_gender,migration_intention,group_difference,categorical,categorical
,,,,respondent_gender,migration_intention_reasons,group_difference,categorical,categorical
,,,,respondent_gender,stay_lby_time,group_difference,categorical,categorical
,,,,respondent_gender,destination_after_lby,group_difference,categorical,categorical
,,,,respondent_gender,priority_assistance_needs,group_difference,categorical,categorical
,,,,respondent_gender,received_humanitarian_assistance,group_difference,categorical,categorical
,,,,respondent_gender,assistance_received_modality,group_difference,categorical,categorical
,,,,respondent_gender,assistance_received_sources,group_difference,categorical,categorical
,,,,respondent_gender,assistance_received_satisfaction,group_difference,categorical,categorical
,,,,respondent_gender,assistance_received_notsatisfaction_reasons,group_difference,categorical,categorical
,,,,respondent_gender,humanitarian_assistance_barriers,group_difference,categorical,categorical
,,,,respondent_gender,preferred_modality_assistance,group_difference,categorical,categorical
,,,,respondent_gender,inkind_preferred_assistance,group_difference,categorical,categorical
,,,,respondent_gender,information_assistance_source,group_difference,categorical,categorical
,,,,respondent_gender,preferred_type_info_humanitarian_assistance,group_difference,categorical,categorical
,,,,respondent_gender,preferred_source_info,group_difference,categorical,categorical
,,,,respondent_gender,preferred_means_receiving_info,group_difference,categorical,categorical
,,,,respondent_gender,been_asked_preferred_aid,group_difference,categorical,categorical
,,,,respondent_gender,been_asked_aid_received,group_difference,categorical,categorical
,,,,respondent_gender,feedback_humanitarian_assistance,group_difference,categorical,categorical
