type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
begin_group,bio_meta_data,Bio/Meta Data,"données biologiques /métadonnées
",ãÚáæãÇÊ ÔÎÕíÉ,yes,,,,,,,,,,,,,,
select_one country,country,In which country were you born?,Dans quel pays vous êtes nés?,İí Ãí ÈáÏ æáÏÊ¿,yes,,,quick,,,,,,,,,,,
text,country_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${country}='other',,,,,,,,,,,,
select_one country,father_country,In which country was your father born?,Dans quel pays est né votre père?," ÅĞÇ ßÇä ""áíÈíÇ"": İí Ãí ÈáÏ æáÏ æÇáÏß¿",yes,,${country}='libya',quick,,,,,,,,,,,
text,father_country_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${father_country}='other',,,,,,,,,,,,
select_one country,mother_country,In which country was your mother born?,Dans quel pays ta mère est-elle née?, İí Ãí ÈáÏ æáÏÊ æÇáÏÊß¿,yes,,${country}='libya',quick,,,,,,,,,,,
text,mother_country_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${mother_country}='other',,,,,,,,,,,,
select_one country,nationality,What nationality do you possess?,Quelle nationalité possédez-vous?,Ãí ÌäÓíÉò ÊÍãá¿,yes,,,quick,,,,,,,,,,,
text,nationality_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${nationality}='other',,,,,,,,,,,,
select_multiple languages,languages,What are your primary languages?,Quels sont les langues principales que vous parlez?,ãÇ åí áÛÇÊß ÇáÃÓÇÓíÉ¿,yes,,,,,,,,,,,,,,
text,languages_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${languages},'other')",,,,,,,,,,,,
date,arrive_libya,When did you arrive in Libya?,Quand êtes-vous arrivé en Libye?,ãÊì æÕáÊ Çáì áíÈíÇ¿,yes,,,month-year,.<= today(),,,,,,,,,,
date,arrive_current_loc,When did you arrive in the current baladiya?,Quand êtes-vous arrivé à cette baladiya?,ãÊì æÕáÊ Åáì åĞå ÇáÈáÏíÉ¿,yes,,,month-year,.>= ${arrive_libya},arrival date to this location should be after arrival date to libya,la date d'arrivée à cet endroit doit être postérieure à la date d'arrivée en Libye,íÌÈ Ãä íßæä ÊÇÑíÎ ÇáæÕæá Åáì åĞÇ ÇáãæŞÚ ÈÚÏ ÊÇÑíÎ ÇáæÕæá Åáì áíÈíÇ,,,,,,,
integer,hh_size,How many people live in your household (including the interviewee) in Libya?,"Combien de personne vivent dans votre foyer en Libye (y compris la personne interrogée)
",ßã ÚÏÏ ÇáÃÔÎÇÕ ÇáĞíä íÚíÔæä İí ãäÒáß (ÈãÇ İí Ğáß ÇáãÓÊÌæÈ) İí áíÈíÇ¿,yes,,,,,,,,,,"If the interviewee does not live with family members, dependants or a primary provider of financial support, then he/she does not live in a household and should only be counted as 1 person. If he/she does live with any of these, then count the interviewee and all family members, dependants and primary providers of financial support he/she lives with.","Si la personne interrogée ne vit pas avec des membres de sa famille, des personnes à charge ou un principal soutien financier, elle ne vit pas dans un ménage et ne doit être comptée que pour une personne. S'il vit avec l'une de ces personnes, comptez la personne interrogée et tous les membres de sa famille, les personnes à sa charge et les principaux pourvoyeurs de soutien financier avec lesquels il/elle vit.","ÅĞÇ ßÇä ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå áÇ íÚíÔ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ Ãæ ÇáãÚÇáíä Ãæ ÃÍÏ ãŞÏãí ÇáÏÚã ÇáãÇáí ÇáÑÆíÓí ¡ İáÇ íÚíÔ İí ãäÒá æíÌÈ ÇÚÊÈÇÑå ÔÎÕğÇ æÇÍÏğÇ İŞØ. ÅĞÇ ßÇä åæ / åí íÚíÔ ãÚ Ãí ãä åÄáÇÁ ¡ İŞã ÈÍÓÇÈ ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå æÌãíÚ ÃİÑÇÏ ÇáÃÓÑÉ æÇáãÚÇáíä æãŞÏãí ÇáÏÚã ÇáãÇáí ÇáÃÓÇÓííä ÇáĞíä íÚíÔæä ãÚåã.",,
select_one yes_no,hoh,Are you the head of a household in Libya?,?tes-vous le chef d'un ménage en Libye?,åá ÃäÊ ÑÈ ÃÓÑÉ İí áíÈíÇ¿,yes,,${hh_size}>1,quick,,,,,,,The head of a household is someone who lives with and is the primary provider for family members or other dependants in Libya,Le chef d'un ménage est une personne qui est le principal fournisseur pour les membres de la famille ou d'autres personnes à charge situés Libye., ÑÈ ÇáÃÓÑÉ åæ ÔÎÕ íÚíÔ ãÚ ÇáÃÓÑÉ æåæ ÇáãÒæÏ ÇáÑÆíÓí áÃİÑÇÏåÇ Ãæ ÛíÑåã ãä ÇáãÚÇáíä İí áíÈíÇ,,
integer,respondent_age,How old are you?,Quel âge avez-vous?,ßã ÚãÑß¿,yes,,,,.>=18,the minimum age of the interviewee should be 18,la personne interrogée doit avoir 18 ans,"íÌÈ Ãä íßæä ÇáÍÏ ÇáÃÏäì áÓä ÇáãÓÊÌæÈ 18 ÚÇãğÇ
",,,,,,,
select_one male_female,respondent_gender,"For enumerator:
What is the sex of the respondent?","""Pour enquêteur: Quel est le sexe du répondant? ""","áÌÇãÚ ÇáÈíÇäÇÊ:
ãÇ åæ ÌäÓ ÇáãÓÊÌæÈ¿",yes,,,quick,,,,,,,,,,,
begin_group,hh_roster_male,Please tell me how many males there are in the following ages-ranges in your household ?,S'il vous plaît dites-moi combien il y a d'hommes de chaque catégorie dans votre ménage?,ßã ÚÏÏ ÇáĞßæÑ İí ãÇ íáí İí ÃÓÑÊß ÈãÇ İí Ğáß ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå,yes,,,field-list,,,,,,,,,,,
integer,nb_infants_male,Infants 0-5years: (male),Bébés de 0 à 5 ans: (mâle),ÇáÑÖÚ (0 - 5 ÓäæÇÊ) ĞßæÑ,yes,,,,.>=0 and .<20,Value must be between 0 and 20,La valeur doit être comprise entre 0 et 20,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,,
integer,nb_children_male,Children 6-14 years: (male),Enfants 6-14 ans: (mâle),ÇáÃØİÇá (6-14 ÓäÉ) ĞßæÑ,yes,,,,.>=0 and .<20,Value must be between 0 and 20,La valeur doit être comprise entre 0 et 20,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,,
integer,nb_youth_male,Youth 15-17 years: (male),Jeunes 15-17 ans: (homme),ÇáÔÈÇÈ (15-17 ÓäÉ) ĞßæÑ,yes,,,,.>=0 and .<20,Value must be between 0 and 20,La valeur doit être comprise entre 0 et 20,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,,
integer,nb_adults_male,Adults 18-64: (male),Adultes 18-64 ans (hommes),ÇáßÈÇÑ (18 - 64 ÓäÉ) ĞßæÑ,yes,,,,"if((${respondent_age}<65 and ${respondent_age}>18 and selected(${respondent_gender} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a male adult","?a ne peut pas être zéro, le chef de famille est un homme adulte.","áÇ íãßä Ãä íßæä ÕİÑÇ ¡ ÑÈ ÇáÃÓÑÉ åæ ĞßÑ ÈÇáÛ",,,,,,,
integer,nb_elderly_male,Elderly 65+ years: (male),Personnes âgées de 65 ans et plus: (homme),ßÈÇÑ ÇáÓä (65+ ÓäÉ)  ĞßæÑ,yes,,,,"if((${respondent_age}>=65 and selected(${respondent_gender} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a male elderly","?a ne peut pas être zéro, le chef de ménage est un homme âgé.","áÇ íãßä Ãä íßæä ÇáÕİÑ ¡ ÑÈ ÇáÃÓÑÉ åæ ĞßÑ ãä ßÈÇÑ ÇáÓä",,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
calculate,nb_male,,,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male}+${nb_adults_male}+${nb_elderly_male},,,,,
calculate,under18_male,,,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male},,,,,
calculate,over18_male,,,,,,,,,,,,,${nb_adults_male}+${nb_elderly_male},,,,,
calculate,school_aged_boys,,,,,,,,,,,,,${nb_children_male}+${nb_youth_male},,,,,
begin_group,hh_roster_female,Please tell me how many females there are in the following ages-rangesin your household ?,S'il vous plaît dites-moi combien il y a de femmes de chaque catégorie dans votre ménage?,ÃÑÌæ Ãä ÊÎÈÑäí ßã ÚÏÏ ãÇ íáí ãä ÇáÇäÇË İí ÃÓÑÊß¿,yes,,,field-list,,,,,,,,,,,
integer,nb_infants_female,Infants 0-5years: (female),Bébés de 0 à 5 ans: (femme),ÇáÑÖÚ (0 - 5 ÓäæÇÊ) ÇäÇË,yes,,,,.>=0 and .<20,Value must be between 0 and 20,La valeur doit être comprise entre 0 et 20,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,,
integer,nb_children_female,Children 6-14 years: (female),Enfants 6-14 ans: (femme),ÇáÃØİÇá (6-14 ÓäÉ) ÇäÇË,yes,,,,.>=0 and .<20,Value must be between 0 and 20,La valeur doit être comprise entre 0 et 20,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,,
integer,nb_youth_female,Youth 15-17 years: (female),Jeunes 15-17 ans: (femme),ÇáÔÈÇÈ (15-17 ÓäÉ) ÇäÇË,yes,,,,.>=0 and .<20,Value must be between 0 and 20,La valeur doit être comprise entre 0 et 20,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,,
integer,nb_adults_female,Adults 18-64: (female),Adultes 18-64 ans (femmes),ÇáßÈÇÑ (18 - 64 ÓäÉ) ÇäÇË,yes,,,,"if((${respondent_age}<65 and ${respondent_age}>18 and selected(${respondent_gender} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a female adult","?a ne peut pas être zéro, le chef de famille est un homme adulte.","áÇ íãßä Ãä íßæä ÕİÑÇ ¡ ÑÈÉ ÇáÃÓÑÉ åí ÃäËì ÈÇáÛÉ",,,,,,,
integer,nb_elderly_female,Elderly 65+ years: (female),Personnes âgées de 65 ans et plus: (femme),ßÈÇÑ ÇáÓä (65+ ÓäÉ ) ÇäÇË,yes,,,,"if((${respondent_age}>=65 and selected(${respondent_gender} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a female elderly","?a ne peut pas être zéro, le chef de ménage est un homme âgé.","áÇ íãßä Ãä íßæä ÇáÕİÑ ¡ ÑÈÉ ÇáÃÓÑÉ åí ÃäËì ãä ßÈÇÑ ÇáÓä",,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
calculate,nb_female,,,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female}+${nb_adults_female}+${nb_elderly_female},,,,,
calculate,under18_female,,,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female},,,,,
calculate,over18_female,,,,,,,,,,,,,${nb_adults_female}+${nb_elderly_female},,,,,
calculate,school_aged_girls,,,,,,,,,,,,,${nb_children_female}+${nb_youth_female},,,,,
calculate,nb_ind_hh,,,,,,,,,,,,,${nb_female} + ${nb_male},,,,,
calculate,nb_under18,,,,,,,,,,,,,${under18_female} + ${under18_male},,,,,
calculate,nb_over18,,,,,,,,,,,,,${over18_female} + ${over18_male},,,,,
note,hh_size_err,The sum does not match the size of the household,La somme ne correspond pas au nombre de personnes du ménage,ÇáãÌãæÚ áÇ íÊäÇÓÈ ãÚ ÍÌã ÇáÃÓÑÉ,yes,,${nb_ind_hh}!=${hh_size},,,,,,,,,,,,
select_one yes_no_dk_dwta,respondent_pregnant,Are you currently pregnant?,Etes-vous actuellement enceinte?,åá ÃäÊ ÍÇãá ÍÇáíÇ¿,yes,,${respondent_gender}='female',,,,,,,,,,,,
begin_group,uasc_group,"How many persons under 18 are you or your household hosting that are separated from both parents, or from their previous legal or customary primary care-giver?","Combien de personnes de moins de 18 ans qui sont  séparés de leurs deux parents, ou de leur ancien parent légal ou coutumier, vous ou votre menage acceuillent ?","ßã ÔÎÕÇ ÊÍÊ Óä 18 ÊÓÊÖíİå ÃäÊ Ãæ ÃÓÑÊß ãäİÕá Úä ßáÇ ÇáæÇáÏíä¡ Ãæ Úä ãŞÏã ÇáÑÚÇíÉ ÇáÑÆíÓí ÇáÚÑİí Ãæ ÇáŞÇäæäí ÇáÓÇÈŞ¿",yes,,,,,,,,,,,,,,
integer,uasc_male,male,Garçons,ÇáĞßæÑ,yes,,,,,,,,,,,,,,
integer,uasc_female,female,Filles,ÇáÅäÇË,yes,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,food_security_section,Food Security,Sécurité alimentaire,ÇáÃãä ÇáÛĞÇÆí,,,,,,,,,,,,,,,
begin_group,food_security,Food Security,Sécurité alimentaire,ÇáÃãä ÇáÛĞÇÆí,yes,,,,,,,,,,,,,,
begin_group,food_consumption,"In the past 7 days, on how many days have you eaten the following food items?
","Dans les 7 derniers jours, combien de fois vous-avez manger ces ingrédients suivants?","İí ÇáÃíÇã ÇáÓÈÚÉ ÇáãÇÖíÉ¡ ßã ÚÏÏ ÇáÃíÇã ÇáÊí ÃßáÊ İíåÇ  ÇáãæÇÏ ÇáÛĞÇÆíÉ ÇáÊÇáíÉ¿",yes,,,field-list,,,,,,,,,,,
integer,cereals,"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)","1. Céréales, céréales et tubercules (y compris pain de blé, pâtes alimentaires, riz, couscous, pommes de terre, etc.)",ÇáÍÈæÈ æÇáÏÑäÇÊ ( ÈãÇ İí Ğáß ÎÈÒ ÇáŞãÍ æÇáãÚßÑæäÉ æÇáÃÑÒ æÇáßÓßÓí æÇáÈØÇØÓ æÛíÑåÇ   ),yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,legumes,"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)","2. Légumineuses et noix (y compris haricots, pois chiches, pois, pois, noix, etc.)","ÇáÈŞæáíÇÊ æÇáãßÓÑÇÊ (ÈãÇ İí Ğáß Çáİæá æÇáÍãÕ æÇáÈÇÒáÇÁ æÇáãßÓÑÇÊ ¡ ÇáÎ)",yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,dairy,"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)","3. Lait et produits laitiers (y compris lait, fromage, crème sure, yaourt, etc.)","ÇáÍáíÈ æãäÊÌÇÊ ÇáÃáÈÇä (ÈãÇ İí Ğáß ÇáÍáíÈ æÇáÌÈä æÇáŞÔÏÉ ÇáÍÇãÖÉ æÇááÈä ¡ æãÇ Åáì Ğáß)",yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,meat,"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)","4. Oeufs, viande, poisson (y compris bœuf, poulet, agneau, poisson en conserve, poisson frais, etc.)","ÇáÈíÖ æÇááÍæã æÇáÃÓãÇß (ÈãÇ İí Ğáß áÍæã ÇáÈŞÑ æÇáÏÌÇÌ æáÍã ÇáÖÃä æÇáÃÓãÇß ÇáãÚáÈÉ æÇáÃÓãÇß ÇáØÇÒÌÉ ¡ æãÇ Åáì Ğáß)",yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,veggies,"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)","5. Légumes et feuilles (y compris oignons, laitue, tomates, concombres, poivrons rouges, épinards, etc.)","ÇáÎÖÑæÇÊ æÇáÎÖÑæÇÊ ÇáæÑŞíÉ (ÈãÇ İí Ğáß ÇáÈÕá æÇáÎÓ æÇáØãÇØã æÇáÎíÇÑ æÇáİáİá ÇáÃÍãÑ æÇáÓÈÇäÎ ¡ ÇáÎ)",yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,fruits,"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)","6. Fruits (y compris bananes, pommes, cerises, dattes, citrons, abricots, poires, etc.)","ÇáİæÇßå (ÈãÇ İí Ğáß ÇáãæÒ ¡ ÇáÊİÇÍ ¡ ÇáßÑÒ ¡ ÇáÊãæÑ ¡ Çááíãæä ¡ ÇáãÔãÔ ¡ ÇáßãËÑì ¡ ÇáÎ.)",yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,fats,"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)","7. Huile et graisse (y compris huile végétale, beurre, margarine, saindoux, etc.)",ÇáÒíæÊ æÇáÏåæä (ÈãÇ İí Ğáß ÇáÒíÊ ÇáäÈÇÊí æÇáÒÈÏÉ æÇáÓãä ÇáäÈÇÊí æÛíÑåÇ),yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,sugar,"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)","8. Sucre et sucreries (y compris sucre, miel, confiture, gâteaux, biscuits, sucreries, boissons sucrées, etc.)",ÇáÓßÑ æÇáÍáæíÇÊ (ÈãÇ İí Ğáß ÇáÓßÑ æÇáÚÓá æÇáãÑÈì æÇáßÚß æÇáÈÓßæíÊ æÇáÍáæíÇÊ æÇáãÔÑæÈÇÊ ÇáÓßÑíÉ æÛíÑåÇ),yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,condiments,"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)","9. Condiments et épices (y compris l'ail, la pâte de tomates et de petites quantités d'aliments d'autres groupes alimentaires)",ÇáÈåÇÑÇÊ æÇáÊæÇÈá (ÈãÇ İí Ğáß ÇáËæã æãÚÌæä ÇáØãÇØã æßãíÇÊ ÕÛíÑÉ ãä ÇáãæÇÏ ãä ÇáãÌãæÚÇÊ ÇáÛĞÇÆíÉ ÇáÃÎÑì),yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
select_multiple food_source,food_source,What are the top three sources from which you typically acquire food?,Quel sont les 3 sources principales que vous dépendez sur afin d'acquérir votre nourriture?,ãÇåí Çåã ËáÇËÉ ãÕÇÏÑ ÊÍÕá İíåÇ ÚÇÏÉ Úáì ÇáÛĞÇÁ¿,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.)<=3 or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options. 3 options Maximum","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options. 3 options Maximum","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì. 3 ÎíÇÑÇÊ ßÍÏ ÃŞÕì",,,Choose 3 options maximum. ,Choisissez 3 options maximum.,ÍÏÏ ÃİÖá ËáÇËÉ ÎíÇÑÇÊ ,,
text,food_source_other,Other:,Autre:,"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${food_source},'other')",,,,,,,,,,,,
begin_group,food_coping_mechanism,"In the past 7 days, if there have been times when you did not have enough food or money to buy food, on how many days have you had to:","Au cours des 7 derniers jours, s'il y a eu des moments où vous n'aviez pas assez de nourriture ou d'argent pour acheter de la nourriture, durant combien de jours vous avez été obligé de:","ÎáÇá ÇáÃíÇã ÇáÓÈÚÉ ÇáãÇÖíÉ¡ ÅĞÇ ßÇäÊ åäÇß ÃæŞÇÊ áã íßä áÏíß İíåÇ ãÇ íßİí ãä ÇáØÚÇã Ãæ ÇáãÇá áÔÑÇÁ ÇáØÚÇã¡ İãÇ åæ ÚÏÏ ÇáÃíÇã ÇáÊí ÇÖØÑÑÊ İíåÇ  Åáì:



",yes,,,field-list,,,,,,,,,,,
