to_values,target_variables,conditions
1,wash_index2,"unsufficient_quantity_water == ""no"""
3,wash_index2,"unsufficient_quantity_water == ""yes"""
1,wash_index3,"sm_selected(toilet_type, any=c(""flush_toilet"",""pour_toilet""))"
3,wash_index3,"sm_selected(toilet_type, exactly=c(""dry_pit_latrine""))"
4,wash_index3,"sm_selected(toilet_type, exactly=c(""no_toilet""))"
1,education_index1,"sm_selected(type_education, any=c(""public_school"",""private_school"",""madrasa"")) | school_aged_girls == 0 | school_aged_boys == 0"
3,education_index1,"sm_selected(type_education, exactly=c(""no_access_formal_edu""))"
1,education_index2,notattending_notenrolled_school_male==0 & notattending_notenrolled_school_female==0 | school_aged_girls == 0 | school_aged_boys == 0
3,education_index2,notattending_notenrolled_school_male>0 | notattending_notenrolled_school_female>0
1,education_index3,"sm_selected(issues_faced_attending_school, exactly =c(""no_issue_faced_attending_school"")) | school_aged_girls == 0 | school_aged_boys == 0"
2,education_index3,"sm_selected(issues_faced_attending_school, any =c(""lack_functioning_latrines"",""lack_seperate_safe_toilets"",""lack_clean_water"",""lack_accessibility_disabled"",""overcrowding_class"",""poor_quality_teachers""))"
3,education_index3,"sm_selected(issues_faced_attending_school, any =c(""violence_from_teacher"",""violence_from_students""))"
4,education_index3,"sm_selected(issues_faced_attending_school, any =c(""sexual_violence_harassment"",""discrimination_school"",""attempted_recruitment_armed_actors"",""school_building_conversion_other_purpose""))"
1,capacity_gap,"cash_coping == ""none"""
2,capacity_gap,"cash_coping == ""stress"""
3,capacity_gap,"cash_coping == ""crisis"""
4,capacity_gap,"cash_coping == ""emergency"""
